Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2009,Jarius Wynn\WynnJa99,DE,9,Georgia,College Stats,6-3,275,4.94,31.5,19,107,7.40,4.58,Green Bay Packers / 6th / 182nd pick / 2009
2,2009,DeAndre Wright\WrigDe99,CB,,New Mexico,College Stats,5-11,198,4.52,34.5,17,122,7.00,4.44,New York Giants / 6th / 200th pick / 2009
3,2009,Jahi Word-Daniels\WordJa99,CB,0,Georgia Tech,College Stats,6-0,197,4.59,35.5,24,122,,,
4,2009,Brandon Williams\WillBr95,DE,0,Texas Tech,College Stats,6-2,261,4.78,33.0,,112,7.23,4.49,Dallas Cowboys / 4th / 120th pick / 2009
5,2009,Lardarius Webb\WebbLa99,CB,42,Nicholls State,,5-10,179,4.35,36.5,15,121,6.77,4.10,Baltimore Ravens / 3rd / 88th pick / 2009
6,2009,Donald Washington\WashDo98,CB,2,Ohio State,College Stats,6-0,197,4.50,45.0,9,135,6.84,4.20,Kansas City Chiefs / 4th / 102nd pick / 2009
7,2009,Vance Walker\WalkVa99,DT,22,Georgia Tech,College Stats,6-2,304,5.32,33.0,29,,,,Atlanta Falcons / 7th / 210th pick / 2009
8,2009,Derek Walker\WalkDe98,DE,,Illinois,College Stats,6-4,268,4.98,37.5,24,115,7.31,4.41,
9,2009,David Veikune\VeikDa99,DE,1,Hawaii,College Stats,6-2,257,4.75,33.0,35,110,7.20,4.46,Cleveland Browns / 2nd / 52nd pick / 2009
10,2009,Chip Vaughn\VaugCh99,SS,0,Wake Forest,College Stats,6-1,221,4.42,37.0,21,125,7.03,4.12,New Orleans Saints / 4th / 116th pick / 2009
11,2009,Brandon Underwood\UndeBr99,FS,2,Cincinnati,College Stats,6-1,198,4.48,36.5,16,125,7.00,4.20,Green Bay Packers / 6th / 187th pick / 2009
12,2009,Morgan Trent\TrenMo99,CB,4,Michigan,College Stats,6-1,193,4.50,38.0,23,127,7.05,4.01,Cincinnati Bengals / 6th / 179th pick / 2009
