Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
13,2009,Curtis Taylor\TaylCu99,FS,1,LSU,College Stats,6-2,209,4.49,37.5,13,129,7.25,4.23,San Francisco 49ers / 7th / 219th pick / 2009
14,2009,C.J. Spillman\SpilCJ99,FS,6,Marshall,College Stats,6-0,197,4.45,41.5,,122,7.05,4.33,
15,2009,Sean Smith\SmitSe99,CB,46,Utah,College Stats,6-3,214,4.47,34.0,10,119,6.92,4.15,Miami Dolphins / 2nd / 61st pick / 2009
16,2009,DeAngelo Smith\SmitDe98,CB,1,Cincinnati,College Stats,5-11,194,4.50,31.5,17,109,7.27,4.35,Dallas Cowboys / 5th / 143rd pick / 2009
17,2009,Alphonso Smith\SmitAl98,CB,8,Wake Forest,College Stats,5-9,193,4.47,34.0,13,125,7.09,4.38,Denver Broncos / 2nd / 37th pick / 2009
18,2009,Clint Sintim\SintCl99,OLB,2,Virginia,College Stats,6-3,256,4.75,34.5,,119,7.37,4.40,New York Giants / 2nd / 45th pick / 2009
19,2009,Lawrence Sidbury\SidbLa99,DE,5,Illinois,,6-2,266,4.53,35.0,28,120,7.46,4.43,Atlanta Falcons / 4th / 125th pick / 2009
20,2009,Matt Shaughnessy\ShauMa99,DE,26,Wisconsin,College Stats,6-5,266,4.86,30.5,24,112,7.68,4.88,Oakland Raiders / 3rd / 71st pick / 2009
21,2009,Darell Scott\ScotDo99,DT,5,West Virginia,,6-3,312,4.92,30.5,29,107,8.28,4.84,St. Louis Rams / 4th / 103rd pick / 2009
22,2009,Lydell Sargeant\SargLy99,CB,,Penn State,College Stats,5-9,190,4.48,35.0,15,117,7.00,4.21,
23,2009,Jamarca Sanford\SanfJa99,SS,19,Mississippi,College Stats,5-10,214,4.43,33.5,29,116,7.02,4.20,Minnesota Vikings / 7th / 231st pick / 2009
24,2009,Lee Robinson\RobiLe99,OLB,0,Alcorn State,,6-2,249,4.71,32.5,24,113,7.57,4.67,
25,2009,Darryl Richard\RichDa97,DT,,Georgia Tech,College Stats,6-2,303,5.08,25.5,17,,,,New England Patriots / 7th / 234th pick / 2009
26,2009,B.J. Raji\RajiBJ99,DT,37,Boston College,College Stats,6-1,337,5.12,32.0,33,103,7.90,4.69,Green Bay Packers / 1st / 9th pick / 2009
27,2009,Stryker Sulak,DE,,Missouri,College Stats,6-4,251,4.63,31.0,22,113,7.31,4.58,Oakland Raiders / 6th / 199th pick / 2009
28,2009,Glover Quin\QuinGl99,FS,57,New Mexico,College Stats,5-11,204,4.50,38.0,22,119,7.39,4.43,Houston Texans / 4th / 112th pick / 2009
29,2009,Myron Pryor\PryoMy99,DT,1,Kentucky,College Stats,6-0,319,5.03,30.0,,107,8.16,4.75,New England Patriots / 6th / 207th pick / 2009
30,2009,Jerraud Powers\PoweJe99,CB,33,Auburn,College Stats,5-9,188,4.43,36.5,15,122,7.09,4.08,Indianapolis Colts / 3rd / 92nd pick / 2009
31,2009,Zach Potter\PottZa99,DE,0,Nebraska,College Stats,6-7,279,4.90,31.0,20,106,7.75,4.48,
32,2009,Jason Phillips\PhilJa99,ILB,3,TCU,College Stats,6-1,239,4.60,34.0,20,120,,4.32,Baltimore Ravens / 5th / 137th pick / 2009
33,2009,Chris Owens\OwenCh99,CB,12,San Jose State,College Stats,5-10,181,4.44,34.5,14,110,6.93,4.16,Atlanta Falcons / 3rd / 90th pick / 2009
34,2009,Wopamo Osaisai\OsaiWo99,CB,,Stanford,College Stats,5-10,197,4.44,,14,,,,
35,2009,Brian Orakpo\OrakBr99,DE,63,Texas,College Stats,6-3,263,4.63,39.5,31,,,,Washington Redskins / 1st / 13th pick / 2009
36,2009,Troy Nolan\NolaTr99,FS,5,Arizona State,College Stats,6-0,206,4.58,31.5,12,117,7.06,4.30,Houston Texans / 7th / 223rd pick / 2009
37,2009,Captain Munnerlyn\MunnCa99,CB,39,South Carolina,College Stats,5-8,182,4.41,37.5,19,121,7.15,4.20,Carolina Panthers / 7th / 216th pick / 2009
38,2009,Ryan Mouton\MoutRy99,CB,3,Hawaii,College Stats,5-9,187,4.47,39.5,18,129,,,Tennessee Titans / 3rd / 94th pick / 2009
39,2009,Thomas Morstead\MorsTh00,P,26,Southern Methodist,College Stats,6-4,225,4.83,,19,,,,New Orleans Saints / 5th / 164th pick / 2009
40,2009,William Moore\MoorWi99,SS,32,Missouri,College Stats,6-0,221,4.49,37.0,16,123,6.81,4.26,Atlanta Falcons / 2nd / 55th pick / 2009
41,2009,Kyle Moore\MoorKy99,DE,8,Southern California,College Stats,6-5,272,4.76,30.5,22,105,7.40,4.47,Tampa Bay Buccaneers / 4th / 117th pick / 2009
42,2009,D.J. Moore\MoorDJ99,CB,6,Vanderbilt,College Stats,5-9,192,4.56,39.5,17,118,7.01,4.28,Chicago Bears / 4th / 119th pick / 2009
43,2009,Fili Moala\MoalFi99,DT,19,Southern California,College Stats,6-4,305,5.07,30.5,25,100,,,Indianapolis Colts / 2nd / 56th pick / 2009
44,2009,Khalif Mitchell\MitcKh99,DT,,East Carolina,College Stats,6-5,318,5.04,30.0,30,109,7.45,4.71,
45,2009,Roy Miller\MillRo99,DT,39,Texas,College Stats,6-1,310,4.93,32.0,36,103,8.01,4.74,Tampa Bay Buccaneers / 3rd / 81st pick / 2009
46,2009,Mike Mickens\MickMi99,CB,,Cincinnati,College Stats,5-11,184,4.53,,,,,,Dallas Cowboys / 7th / 227th pick / 2009
47,2009,Gerald McRath\McRaGe99,ILB,7,Southern Miss,College Stats,6-2,231,4.49,34.0,19,123,7.24,4.35,Tennessee Titans / 4th / 130th pick / 2009
48,2009,Scott McKillop\McKiSc99,ILB,2,Pittsburgh,College Stats,6-1,244,4.70,35.5,27,119,7.00,4.39,San Francisco 49ers / 5th / 146th pick / 2009
49,2009,Tyrone McKenzie\McKeTy99,OLB,1,South Florida,College Stats,6-2,243,4.76,,27,112,,,New England Patriots / 3rd / 97th pick / 2009
50,2009,Darcel McBath\McBaDa99,FS,3,Texas Tech,College Stats,6-0,198,4.53,38.0,14,119,6.80,4.16,Denver Broncos / 2nd / 48th pick / 2009
51,2009,Aaron Maybin\MaybAa99,DE,5,Penn State,College Stats,6-4,249,4.64,38.0,22,124,7.52,4.38,Buffalo Bills / 1st / 11th pick / 2009
52,2009,Josh Mauga\MaugJo00,ILB,18,Nevada,,6-1,243,4.61,,,,,,
53,2009,Rey Maualuga\MauaRe99,ILB,57,Southern California,College Stats,6-2,249,4.58,,23,107,,,Cincinnati Bengals / 2nd / 38th pick / 2009
54,2009,Clay Matthews\MattCl99,OLB,90,Southern California,College Stats,6-3,240,4.58,35.5,23,121,6.90,4.18,Green Bay Packers / 1st / 26th pick / 2009
55,2009,Tim Masthay\MastTi99,P,10,Kentucky,College Stats,6-1,198,4.80,,8,,,,
56,2009,Sherrod Martin\MartSh99,CB,18,Troy,College Stats,6-1,198,4.43,36.0,12,123,6.60,3.98,Carolina Panthers / 2nd / 59th pick / 2009
57,2009,Orion Martin\MartOr99,DE,,Virginia Tech,College Stats,6-2,262,4.70,32.0,24,108,7.90,4.63,
58,2009,Sen'Derrick Marks\MarkSe99,DT,30,Auburn,College Stats,6-2,306,5.00,33.0,,,,,Tennessee Titans / 2nd / 62nd pick / 2009
59,2009,Kaluka Maiava\MaiaKa99,OLB,14,Southern California,College Stats,5-11,229,4.65,,30,110,6.98,4.20,Cleveland Browns / 4th / 104th pick / 2009
60,2009,Alex Magee\MageAl99,DT,2,Purdue,College Stats,6-3,298,4.82,29.5,30,103,7.52,4.55,Kansas City Chiefs / 3rd / 67th pick / 2009
61,2009,Keenan Lewis\LewiKe96,CB,24,Oregon State,College Stats,6-1,208,4.47,33.5,19,123,,,Pittsburgh Steelers / 3rd / 96th pick / 2009
62,2009,DeAndre Levy\LevyDe99,OLB,48,Wisconsin,College Stats,6-2,236,4.56,,19,119,,,Detroit Lions / 3rd / 76th pick / 2009
63,2009,James Laurinaitis\LaurJa99,ILB,63,Ohio State,College Stats,6-2,244,4.72,33.0,22,115,6.93,4.24,St. Louis Rams / 2nd / 35th pick / 2009
64,2009,Paul Kruger\KrugPa99,DE,36,Utah,College Stats,6-4,263,4.79,32.5,24,108,7.52,4.47,Baltimore Ravens / 2nd / 57th pick / 2009
65,2009,Terrance Knighton\KnigTe99,DT,44,Temple,College Stats,6-3,321,4.93,28.0,,103,7.90,4.78,Jacksonville Jaguars / 3rd / 72nd pick / 2009
66,2009,Mitch King\KingMi99,DT,0,Iowa,College Stats,6-1,280,4.81,33.5,23,109,7.60,4.58,
67,2009,Rashad Johnson\JohnRa98,FS,27,Alabama,College Stats,5-11,203,4.49,37.0,15,120,7.09,4.23,Arizona Cardinals / 3rd / 95th pick / 2009
68,2009,Michael Johnson\JohnMi98,DE,58,Georgia Tech,College Stats,6-7,266,4.61,38.5,28,128,7.42,4.37,Cincinnati Bengals / 3rd / 70th pick / 2009
69,2009,D.J. Johnson\JohnDo99,CB,0,Michigan State,,6-1,197,4.50,32.0,7,116,7.00,4.30,
70,2009,Bruce Johnson\JohnBr97,CB,3,Miami (FL),College Stats,5-9,170,4.42,34.5,6,125,6.71,4.05,
71,2009,Peria Jerry\JerrPe99,DT,15,Mississippi,College Stats,6-2,299,4.98,,,,,,Atlanta Falcons / 1st / 24th pick / 2009
72,2009,Malcolm Jenkins\JenkMa99,CB,59,Ohio State,College Stats,6-0,204,4.51,33.0,15,124,6.59,4.08,New Orleans Saints / 1st / 14th pick / 2009
73,2009,Ricky Jean-Francois\JeanRi99,DT,22,Iowa,College Stats,6-3,295,5.19,26.0,25,93,,,San Francisco 49ers / 7th / 244th pick / 2009
74,2009,Tim Jamison\JamiTi99,DE,6,Michigan,College Stats,6-2,256,4.95,30.0,21,107,7.56,4.60,
75,2009,Tyson Jackson\JackTy98,DE,41,LSU,College Stats,6-4,296,4.94,28.5,,102,7.64,4.80,Kansas City Chiefs / 1st / 3rd pick / 2009
76,2009,Mortty Ivy\IvyxMo99,ILB,1,West Virginia,College Stats,6-1,248,4.78,25.5,18,104,7.35,4.75,
77,2009,Corvey Irvin\IrviCo99,DT,1,Georgia,College Stats,6-3,301,4.96,24.5,24,97,7.44,4.73,Carolina Panthers / 3rd / 93rd pick / 2009
78,2009,Brandon Hughes\HughBr99,CB,2,Oregon State,College Stats,5-10,182,4.40,36.5,8,128,6.90,4.23,San Diego Chargers / 5th / 148th pick / 2009
79,2009,Kevin Huber\HubeKe20,P,20,Cincinnati,College Stats,6-1,220,4.87,,,,,,Cincinnati Bengals / 5th / 142nd pick / 2009
80,2009,Ziggy Hood\HoodEv99,DT,44,Missouri,College Stats,6-3,300,4.83,33.0,34,108,7.50,4.55,Pittsburgh Steelers / 1st / 32nd pick / 2009
81,2009,Lendy Holmes\HolmLe99,FS,0,Oklahoma,College Stats,6-0,206,4.65,32.0,16,112,7.28,4.32,
82,2009,Stephen Hodge\HodgSt99,OLB,,TCU,College Stats,6-0,234,4.59,35.0,22,115,7.21,4.34,Dallas Cowboys / 6th / 197th pick / 2009
83,2009,Macho Harris\HarrVi99,CB,3,Virginia Tech,College Stats,5-11,198,4.46,33.5,,118,6.68,3.98,Philadelphia Eagles / 5th / 157th pick / 2009
84,2009,Nic Harris\HarrNi99,OLB,5,Oklahoma,College Stats,6-2,234,4.83,31.5,15,109,7.05,4.37,Buffalo Bills / 5th / 147th pick / 2009
85,2009,Cary Harris\HarrCa99,CB,1,Southern California,College Stats,5-11,187,4.66,,18,,,,Buffalo Bills / 6th / 183rd pick / 2009
86,2009,Michael Hamlin\HamlMi99,SS,0,Clemson,College Stats,6-2,214,4.57,37.5,17,117,7.14,4.42,Dallas Cowboys / 5th / 166th pick / 2009
87,2009,Courtney Greene\GreeCo99,SS,5,Rutgers,College Stats,6-0,212,4.55,34.5,21,116,7.35,4.16,Seattle Seahawks / 7th / 245th pick / 2009
88,2009,Adrian Grady\GradAd99,DT,,Louisville,College Stats,6-1,298,5.18,32.0,31,105,7.68,4.72,
89,2009,Cody Glenn\GlenCo99,OLB,2,Nebraska,College Stats,6-0,244,4.67,,25,,,,Washington Redskins / 5th / 158th pick / 2009
90,2009,Jarron Gilbert\GilbJa99,DE,0,San Jose State,College Stats,6-5,288,4.81,35.5,28,119,7.70,4.56,Chicago Bears / 3rd / 68th pick / 2009
91,2009,Coye Francies\FranCo99,CB,1,San Jose State,College Stats,6-0,185,4.63,36.0,24,123,6.81,4.24,Cleveland Browns / 6th / 191st pick / 2009
92,2009,Zack Follett\FollZa99,OLB,2,California,College Stats,6-2,236,4.69,37.0,,117,7.31,,Detroit Lions / 7th / 235th pick / 2009
93,2009,Moise Fokou\FokoMo99,OLB,22,Maryland,College Stats,6-1,233,4.65,31.0,12,121,7.09,4.28,Philadelphia Eagles / 7th / 230th pick / 2009
94,2009,Bradley Fletcher\FletBr99,CB,26,Iowa,College Stats,6-0,196,4.44,38.5,20,122,7.04,4.29,St. Louis Rams / 3rd / 66th pick / 2009
95,2009,Maurice Evans\EvanMa99,DE,,Penn State,College Stats,6-1,274,4.78,29.0,17,107,7.32,4.57,
96,2009,Larry English\EnglLa99,OLB,8,Northern Illinois,College Stats,6-2,255,4.74,36.0,24,107,7.26,4.38,San Diego Chargers / 1st / 16th pick / 2009
97,2009,Kevin Ellison\ElliKe98,OLB,4,Southern California,College Stats,6-1,227,4.75,,32,,,,San Diego Chargers / 6th / 189th pick / 2009
98,2009,Dannell Ellerbe\ElleDa99,ILB,26,Georgia,College Stats,6-1,236,4.63,35.0,,118,7.00,4.23,
99,2009,Pannel Egboh\EgboPa00,DE,0,Stanford,College Stats,6-6,276,4.86,31.5,26,116,7.24,4.40,
100,2009,Louis Delmas\DelmLo99,FS,29,Western Michigan,College Stats,5-11,202,4.52,37.0,12,126,6.67,4.17,Detroit Lions / 2nd / 33rd pick / 2009
101,2009,Will Davis\DaviWi99,DE,3,Illinois,College Stats,6-2,261,4.84,33.0,27,115,7.38,4.45,Arizona Cardinals / 6th / 204th pick / 2009
102,2009,Vontae Davis\DaviVo99,CB,49,Illinois,College Stats,5-11,203,4.40,36.0,25,125,6.75,4.07,Miami Dolphins / 1st / 25th pick / 2009
103,2009,Brian Cushing\CushBr99,OLB,60,Southern California,College Stats,6-3,243,4.64,35.0,30,120,6.84,4.22,Houston Texans / 1st / 15th pick / 2009
104,2009,Aaron Curry\CurrAa99,OLB,18,Wake Forest,College Stats,6-2,254,4.52,37.0,25,124,7.15,4.51,Seattle Seahawks / 1st / 4th pick / 2009
105,2009,Emanuel Cook\CookEm99,SS,0,South Carolina,,5-10,197,4.57,35.0,18,116,,,
106,2009,Britton Colquitt\ColqBr00,P,19,Tennessee,College Stats,6-3,205,4.89,,,,,,
107,2009,Terrance Taylor,DT,,Michigan,College Stats,6-0,306,5.08,30.0,37,104,7.78,5.06,Indianapolis Colts / 4th / 136th pick / 2009
108,2009,Chris Clemons\ClemCh97,FS,20,Clemson,College Stats,6-0,208,4.33,37.5,19,127,7.27,4.38,Miami Dolphins / 5th / 165th pick / 2009
109,2009,Patrick Chung\ChunPa99,SS,37,Oregon,College Stats,5-11,212,4.49,34.0,25,119,,,New England Patriots / 2nd / 34th pick / 2009
110,2009,Marcus Freeman,OLB,,Ohio State,College Stats,6-1,239,4.51,37.0,30,113,6.98,4.12,Chicago Bears / 5th / 154th pick / 2009
111,2009,Jonathan Casillas\CasiJo99,OLB,26,Wisconsin,College Stats,6-1,228,4.50,,24,,,,
112,2009,Don Carey\CareDo00,CB,13,Norfolk State,,5-11,192,4.49,,18,,,,Cleveland Browns / 6th / 177th pick / 2009
113,2009,Jairus Byrd\ByrdJa99,CB,46,Oregon,College Stats,5-10,207,4.68,,,,,,Buffalo Bills / 2nd / 42nd pick / 2009
114,2009,Victor Butler\ButlVi99,OLB,6,Oregon State,College Stats,6-2,248,4.72,33.0,24,113,7.21,4.40,Dallas Cowboys / 4th / 110th pick / 2009
115,2009,Darius Butler\ButlDa99,CB,26,Connecticut,College Stats,5-10,183,4.41,43.0,,134,6.92,4.18,New England Patriots / 2nd / 41st pick / 2009
116,2009,Joe Burnett\BurnJo99,CB,1,Central Florida,College Stats,5-9,192,4.58,35.5,22,118,6.68,4.25,Pittsburgh Steelers / 5th / 168th pick / 2009
117,2009,David Bruton\BrutDa99,FS,11,Notre Dame,College Stats,6-2,219,4.40,41.5,19,132,6.60,4.28,Denver Broncos / 4th / 114th pick / 2009
118,2009,Everette Brown\BrowEv99,DE,6,Florida State,College Stats,6-1,256,4.65,31.5,26,114,7.55,4.53,Carolina Panthers / 2nd / 43rd pick / 2009
119,2009,Cody Brown\BrowCo96,OLB,,Connecticut,College Stats,6-2,244,4.76,36.5,26,120,7.10,4.40,Arizona Cardinals / 2nd / 63rd pick / 2009
120,2009,Jasper Brinkley\BrinJa99,ILB,22,South Carolina,College Stats,6-2,252,4.67,35.5,26,114,7.03,4.32,Minnesota Vikings / 5th / 150th pick / 2009
121,2009,Ron Brace\BracRo99,DT,5,Boston College,College Stats,6-3,330,5.48,28.0,32,99,8.15,4.73,New England Patriots / 2nd / 40th pick / 2009
122,2009,Michael Bennett\BennMi99,DE,58,Texas A&M,College Stats,6-3,274,4.86,31.0,24,110,,,
123,2009,Darry Beckwith\BeckDa99,ILB,0,LSU,College Stats,6-0,242,4.63,26.5,23,110,7.39,4.50,
124,2009,Connor Barwin\BarwCo99,OLB,57,Cincinnati,College Stats,6-4,256,4.47,40.5,21,128,6.87,4.18,Houston Texans / 2nd / 46th pick / 2009
125,2009,Kevin Barnes\BarnKe99,CB,3,Maryland,College Stats,6-0,187,4.45,38.5,,128,6.72,3.96,Washington Redskins / 3rd / 80th pick / 2009
126,2009,Robert Ayers\AyerRo99,DE,32,Tennessee,College Stats,6-3,272,4.77,29.5,18,102,7.56,4.51,Denver Broncos / 1st / 18th pick / 2009
127,2009,Stanley Arnoux\ArnoSt99,ILB,1,Wake Forest,College Stats,6-0,232,4.56,31.5,19,121,7.22,4.39,New Orleans Saints / 4th / 118th pick / 2009
128,2009,Asher Allen\AlleAs99,CB,9,Georgia,College Stats,5-9,194,4.48,35.0,22,115,6.93,4.30,Minnesota Vikings / 3rd / 86th pick / 2009
129,2009,Morris Wooten,ILB,,Arizona State,College Stats,6-0,231,5.00,,15,117,,,
130,2009,Worrell Williams,ILB,,California,College Stats,5-11,240,4.75,35.0,23,111,,,
131,2009,Otis Wiley,SS,,Michigan State,College Stats,6-1,213,4.64,,,,,,
132,2009,Derek Pegues,FS,,Mississippi State,College Stats,5-10,199,4.54,36.0,23,119,7.08,4.30,
133,2009,Kevin Akins,OLB,,Boston College,College Stats,6-2,218,4.73,31.5,15,117,6.78,4.15,
134,2009,Chris Baker,DT,,Hampton,,6-2,326,4.94,35.5,24,106,8.06,4.90,
135,2009,Demonte' Bolden,DT,,Tennessee,,6-3,285,4.95,31.5,,109,7.50,4.78,
136,2009,Justin Brantly,P,,Texas A&M,College Stats,6-3,249,4.83,,,,,,
137,2009,Ian Campbell,DE,,Kansas State,College Stats,6-4,265,4.99,,,109,6.93,4.28,
138,2009,Rulon Davis,DE,,California,College Stats,6-5,281,5.00,30.0,20,111,,,
139,2009,Marlon Favorite,DT,,LSU,College Stats,6-1,314,5.09,,26,,,,
140,2009,Anthony Felder,ILB,,California,College Stats,6-2,233,4.69,,28,116,,,
141,2009,Matt Fodge,P,,Oklahoma State,College Stats,6-0,193,4.93,,,,,,
142,2009,Sunny Harris,DT,,Michigan State,,6-4,298,4.88,25.5,28,106,8.18,4.87,
143,2009,Sammie Hill,DT,,Colorado,,6-4,329,5.12,28.0,27,109,7.89,4.97,
144,2009,Marcus McClinton,FS,,Kentucky,College Stats,6-0,210,4.49,37.0,16,120,7.45,4.22,
145,2009,Ryan Palmer,CB,,Texas,,5-8,190,4.54,36.5,16,121,7.12,4.29,
