Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2000,Brian Young\YounBr20,DE,47,Texas-El Paso,College Stats,6-2,278,4.94,29.5,27,106,7.20,4.47,St. Louis Rams / 5th / 139th pick / 2000
2,2000,Cedric Woodard\WoodCe20,DT,15,Texas,,6-2,290,5.21,30.5,23,109,,,Baltimore Ravens / 6th / 191st pick / 2000
3,2000,Antonio Wilson\WilsAn20,OLB,2,Texas A&M-Commerce,,6-2,245,4.56,,11,,,,Minnesota Vikings / 4th / 106th pick / 2000
4,2000,Josh Williams\WillJo30,DT,19,Michigan,,6-3,282,4.90,30.5,,111,7.22,4.25,Indianapolis Colts / 4th / 122nd pick / 2000
5,2000,Damen Wheeler\WheeDa20,CB,0,Colorado,,5-9,179,4.51,35.0,11,115,7.21,4.27,San Diego Chargers / 6th / 203rd pick / 2000
6,2000,Jason Webster\WebsJa20,CB,27,Texas A&M,,5-9,180,4.42,35.5,17,122,6.76,3.98,San Francisco 49ers / 2nd / 48th pick / 2000
7,2000,Steve Warren\WarrSt20,DT,2,Nebraska,,6-1,307,5.10,30.5,29,105,7.97,4.56,Green Bay Packers / 3rd / 74th pick / 2000
8,2000,Darwin Walker\WalkDa21,DT,44,Tennessee,,6-2,293,4.82,,,,,,Arizona Cardinals / 3rd / 71st pick / 2000
9,2000,Darrick Vaughn\VaugDa20,CB,10,Texas State,,5-11,196,4.53,36.5,14,121,7.09,4.16,Atlanta Falcons / 7th / 211th pick / 2000
10,2000,Brian Urlacher\UrlaBr00,OLB,150,New Mexico,College Stats,6-4,258,4.59,34.0,27,122,6.94,4.18,Chicago Bears / 1st / 9th pick / 2000
11,2000,Jeff Ulbrich\UlbrJe20,ILB,35,Hawaii,,6-0,249,4.65,32.0,24,109,7.23,4.30,San Francisco 49ers / 3rd / 86th pick / 2000
12,2000,Mao Tosi\TosiMa20,DT,4,Idaho,,6-5,310,5.26,28.5,19,99,7.72,4.60,Arizona Cardinals / 5th / 136th pick / 2000
13,2000,Travares Tillman\TillTr20,FS,14,Georgia Tech,,6-1,194,4.60,37.5,15,123,6.95,4.29,Buffalo Bills / 2nd / 58th pick / 2000
14,2000,Raynoch Thompson\ThomRa23,OLB,21,Tennessee,,6-3,220,4.65,,,,,,Arizona Cardinals / 2nd / 41st pick / 2000
15,2000,Adalius Thomas\ThomAd00,DE,77,Southern Miss,College Stats,6-2,270,4.56,38.5,,120,,4.42,Baltimore Ravens / 6th / 186th pick / 2000
16,2000,Shannon Taylor\TaylSh20,OLB,4,Virginia,,6-3,249,4.65,34.5,,115,,,San Diego Chargers / 6th / 184th pick / 2000
17,2000,Robaire Smith\SmitRo21,DE,45,Michigan State,,6-4,275,4.88,,,,,,Tennessee Titans / 6th / 197th pick / 2000
18,2000,T.J. Slaughter\SlauT.20,ILB,22,Southern Miss,,6-0,247,4.87,30.0,24,112,7.08,4.26,Jacksonville Jaguars / 3rd / 92nd pick / 2000
19,2000,Peter Sirmon\SirmPe20,ILB,27,Oregon,,6-2,246,4.84,34.5,20,115,7.21,4.27,Tennessee Titans / 4th / 128th pick / 2000
20,2000,Mark Simoneau\SimoMa20,OLB,34,Kansas State,College Stats,6-0,237,4.60,36.0,24,117,7.08,4.09,Atlanta Falcons / 3rd / 67th pick / 2000
