Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2006,Ashton Youboty\YoubAs20,CB,9,Ohio State,College Stats,6-0,189,4.44,,,,,,Buffalo Bills / 3rd / 70th pick / 2006
2,2006,James Wyche\WychJa00,DE,0,Syracuse,College Stats,6-5,262,4.63,33.0,27,116,7.75,4.51,Jacksonville Jaguars / 7th / 213th pick / 2006
3,2006,Claude Wroten\WrotCl20,DT,2,LSU,College Stats,6-2,302,5.08,,,,,,St. Louis Rams / 3rd / 68th pick / 2006
4,2006,Rodrique Wright\WrigRo99,DT,4,Texas,College Stats,6-5,300,5.08,32.0,31,110,7.84,4.51,Miami Dolphins / 7th / 226th pick / 2006
5,2006,Kamerion Wimbley\WimbKa20,DE,55,Florida State,College Stats,6-4,248,4.61,38.5,24,129,6.97,4.48,Cleveland Browns / 1st / 13th pick / 2006
6,2006,Mario Williams\WillMa22,DE,92,North Carolina State,College Stats,6-7,295,4.70,40.5,35,120,7.19,4.36,Houston Texans / 1st / 1st pick / 2006
7,2006,Leon Williams\WillLe20,ILB,9,Miami (FL),College Stats,6-3,245,4.54,,25,,,,Cleveland Browns / 4th / 110th pick / 2006
8,2006,Jimmy Williams\WillJi23,CB,4,Virginia Tech,College Stats,6-2,213,4.44,,,,,,Atlanta Falcons / 2nd / 37th pick / 2006
9,2006,Jamar Williams\WillJa21,OLB,5,Arizona State,College Stats,6-0,236,4.59,37.0,,120,7.03,4.29,Chicago Bears / 4th / 120th pick / 2006
10,2006,Gerris Wilkinson\WilkGe20,ILB,7,Georgia Tech,College Stats,6-3,233,4.66,39.0,19,122,7.21,4.17,New York Giants / 3rd / 96th pick / 2006
11,2006,Donte Whitner\WhitDo20,SS,63,Ohio State,College Stats,5-10,204,4.40,40.0,18,132,,,Buffalo Bills / 1st / 8th pick / 2006
12,2006,Dee Webb\WebbDe20,CB,1,Florida,,5-11,183,4.41,36.5,,121,,,Jacksonville Jaguars / 7th / 236th pick / 2006
13,2006,Steve Weatherford\WeatSt20,P,20,Illinois,College Stats,6-2,217,4.82,,,,,,
14,2006,Gabe Watson\WatsGa20,DT,13,Michigan,,6-3,339,5.27,25.0,36,96,8.28,4.80,Arizona Cardinals / 4th / 107th pick / 2006
15,2006,Pat Watkins\WatkPa20,FS,7,Florida State,College Stats,6-5,211,4.42,41.0,14,133,,,Dallas Cowboys / 5th / 138th pick / 2006
16,2006,Kevin Simon,OLB,,Tennessee,College Stats,5-10,235,4.89,28.0,26,103,7.69,4.32,Washington Redskins / 7th / 250th pick / 2006
17,2006,Stephen Tulloch\TullSt20,ILB,59,North Carolina State,College Stats,5-11,241,4.84,33.5,27,113,7.19,4.15,Tennessee Titans / 4th / 116th pick / 2006
18,2006,Darryl Tapp\TappDa20,DE,36,Virginia Tech,College Stats,6-2,252,4.83,33.0,27,109,7.31,4.48,Seattle Seahawks / 2nd / 63rd pick / 2006
19,2006,Alan Zemaitis,CB,,Penn State,College Stats,6-1,194,4.57,,,,,,Tampa Bay Buccaneers / 4th / 122nd pick / 2006
20,2006,Montavious Stanley\StanMo20,DT,5,Louisville,College Stats,6-2,313,5.12,29.0,,106,8.06,4.60,Dallas Cowboys / 6th / 182nd pick / 2006
21,2006,Eric Smith\SmitEr22,SS,18,Michigan State,College Stats,6-1,209,4.63,40.0,21,127,6.89,4.10,New York Jets / 3rd / 97th pick / 2006
22,2006,Anthony Smith\SmitAn21,FS,13,Syracuse,College Stats,6-0,194,4.71,41.0,18,125,6.75,4.35,Pittsburgh Steelers / 3rd / 83rd pick / 2006
23,2006,Ernie Sims\SimsEr20,OLB,34,Florida State,College Stats,5-11,231,4.50,41.0,25,125,7.31,4.22,Detroit Lions / 1st / 9th pick / 2006
