Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
24,2006,Ko Simpson\SimpKo20,FS,13,South Carolina,College Stats,6-1,209,4.45,40.5,11,122,7.09,4.17,Buffalo Bills / 4th / 105th pick / 2006
25,2006,Anthony Schlegel\SchlAn20,ILB,2,Ohio State,College Stats,6-0,250,4.88,32.0,21,111,7.41,4.38,New York Jets / 3rd / 76th pick / 2006
26,2006,Nate Salley\SallNa20,FS,2,Ohio State,College Stats,6-2,216,4.63,40.0,14,123,6.79,4.15,Carolina Panthers / 4th / 121st pick / 2006
27,2006,DeMeco Ryans\RyanDe20,OLB,70,Alabama,College Stats,6-1,236,4.65,39.0,23,129,7.19,4.17,Houston Texans / 2nd / 33rd pick / 2006
28,2006,Frostee Rucker\RuckFr99,DE,45,Southern California,College Stats,6-3,267,4.88,29.5,,110,,,Cincinnati Bengals / 3rd / 91st pick / 2006
29,2006,Bernard Pollard\PollBe20,SS,42,Purdue,College Stats,6-2,224,4.57,36.5,,131,,,Kansas City Chiefs / 2nd / 54th pick / 2006
30,2006,Ryan Plackemeier\PlacRy20,P,5,Wake Forest,College Stats,6-3,253,5.20,,,,,,Seattle Seahawks / 7th / 239th pick / 2006
31,2006,David Pittman\PittDa99,CB,1,Northwestern State,,5-11,182,4.44,36.0,14,128,,4.23,Baltimore Ravens / 3rd / 87th pick / 2006
32,2006,Anwar Phillips\PhilAn21,CB,0,Penn State,College Stats,6-0,193,4.60,,,,,,
33,2006,Charlie Peprah\PeprCh20,SS,12,Alabama,College Stats,5-11,206,4.66,37.5,15,119,6.81,4.09,New York Giants / 5th / 158th pick / 2006
34,2006,Domata Peko\PekoDo20,DT,83,Michigan State,College Stats,6-3,307,5.27,28.5,25,103,7.69,4.49,Cincinnati Bengals / 4th / 123rd pick / 2006
35,2006,Sam Paulescu\PaulSa20,P,1,Oregon State,College Stats,6-0,190,4.98,,,,,,
36,2006,Jarrad Page\PageJa20,SS,20,UCLA,College Stats,6-0,239,4.63,38.0,,127,6.68,4.14,Kansas City Chiefs / 7th / 228th pick / 2006
37,2006,Babatunde Oshinowo\OshiBa20,DT,0,Stanford,,6-2,304,5.27,32.0,33,105,7.87,4.54,Cleveland Browns / 6th / 181st pick / 2006
38,2006,Melvin Oliver\OlivMe20,DE,6,LSU,College Stats,6-3,276,5.08,,,,,,San Francisco 49ers / 6th / 197th pick / 2006
39,2006,Gerrick McPhearson,CB,,Maryland,College Stats,5-10,196,4.42,41.5,18,129,,,New York Giants / 7th / 232nd pick / 2006
40,2006,Rob Ninkovich\NinkRo20,DE,60,Purdue,College Stats,6-3,260,4.91,34.5,23,116,6.96,4.18,New Orleans Saints / 5th / 135th pick / 2006
41,2006,A.J. Nicholson\NichA.20,OLB,0,Florida State,College Stats,6-1,252,4.88,,25,116,7.37,4.43,Cincinnati Bengals / 5th / 157th pick / 2006
42,2006,Haloti Ngata\NgatHa20,DT,125,Oregon,College Stats,6-4,338,5.13,31.5,37,110,7.95,4.65,Baltimore Ravens / 1st / 12th pick / 2006
43,2006,Terna Nande\NandTe20,OLB,0,Miami (OH),College Stats,6-0,232,4.51,39.0,41,124,6.97,4.11,Tennessee Titans / 5th / 137th pick / 2006
44,2006,Jeremy Mincey\MincJe99,DE,33,Florida,College Stats,6-3,259,4.76,33.5,27,116,6.99,4.25,New England Patriots / 6th / 191st pick / 2006
45,2006,Rocky McIntosh\McInRo20,OLB,44,Colorado,,6-2,237,4.62,41.5,18,119,,,Washington Redskins / 2nd / 35th pick / 2006
46,2006,Tim McGarigle\McGaTi99,ILB,1,Northwestern,College Stats,6-1,242,4.73,38.0,,118,7.09,4.07,St. Louis Rams / 7th / 221st pick / 2006
47,2006,Stanley McClover\McClSt20,DE,1,Auburn,College Stats,6-2,262,4.70,39.0,19,114,7.87,4.50,Carolina Panthers / 7th / 237th pick / 2006
48,2006,John McCargo\McCaJo22,DT,3,North Carolina State,College Stats,6-1,302,5.15,30.5,25,110,7.79,4.48,Buffalo Bills / 1st / 26th pick / 2006
49,2006,Marcus Maxey\MaxeMa20,CB,0,Miami (FL),College Stats,6-1,198,4.48,41.5,14,129,,,Kansas City Chiefs / 5th / 154th pick / 2006
50,2006,Derrick Martin\MartDe22,CB,6,Wyoming,College Stats,5-10,202,4.50,40.0,17,127,6.72,3.95,Baltimore Ravens / 6th / 208th pick / 2006
51,2006,Richard Marshall\MarsRi20,CB,37,Fresno State,College Stats,5-11,189,4.42,37.0,12,129,6.65,4.16,Carolina Panthers / 2nd / 58th pick / 2006
52,2006,Danieal Manning\MannDa21,CB,44,Abilene Christian,,5-11,202,4.48,39.0,17,123,7.23,4.07,Chicago Bears / 2nd / 42nd pick / 2006
53,2006,Jesse Mahelona\MaheJe20,DT,1,Tennessee,College Stats,6-0,311,5.37,,,,,,Tennessee Titans / 5th / 169th pick / 2006
54,2006,Calvin Lowry\LowrCa20,SS,7,Penn State,College Stats,5-11,200,4.54,36.0,15,120,7.16,4.20,Tennessee Titans / 4th / 102nd pick / 2006
55,2006,Jonathan Lewis\LewiJo22,DT,0,Virginia Tech,College Stats,6-1,309,4.97,33.5,24,111,7.40,4.40,Arizona Cardinals / 6th / 177th pick / 2006
56,2006,Manny Lawson\LawsMa20,OLB,56,North Carolina State,College Stats,6-5,241,4.43,39.5,23,124,6.90,4.18,San Francisco 49ers / 1st / 22nd pick / 2006
57,2006,Dawan Landry\LandDa21,SS,52,Georgia Tech,College Stats,6-1,220,4.64,37.5,18,124,,4.27,Baltimore Ravens / 5th / 146th pick / 2006
58,2006,Ryan LaCasse\LaCaRy20,DE,1,Syracuse,College Stats,6-2,257,4.62,34.0,34,113,7.25,4.30,Baltimore Ravens / 7th / 219th pick / 2006
59,2006,Mathias Kiwanuka\KiwaMa20,DE,43,Boston College,College Stats,6-6,266,4.70,32.0,17,120,7.27,4.13,New York Giants / 1st / 32nd pick / 2006
60,2006,William Kershaw\KersWi20,OLB,0,Maryland,College Stats,6-3,240,4.63,37.0,21,111,6.95,4.17,
61,2006,Freddy Keiaho\KeiaFr20,ILB,16,San Diego State,College Stats,5-11,224,4.68,36.0,15,113,7.01,4.12,Indianapolis Colts / 3rd / 94th pick / 2006
62,2006,Johnathan Joseph\JoseJo20,CB,79,South Carolina,,5-11,193,4.31,37.0,15,123,6.92,4.23,Cincinnati Bengals / 1st / 24th pick / 2006
63,2006,Johnny Jolly\JollJo20,DT,23,Texas A&M,College Stats,6-3,317,5.41,,,104,,,Green Bay Packers / 6th / 183rd pick / 2006
64,2006,Brandon Johnson\JohnBr20,OLB,14,Louisville,College Stats,6-5,228,4.44,37.0,11,118,7.17,4.34,Arizona Cardinals / 5th / 142nd pick / 2006
65,2006,Tim Jennings\JennTi20,CB,50,Georgia,College Stats,5-8,185,4.32,37.5,17,117,,,Indianapolis Colts / 2nd / 62nd pick / 2006
66,2006,Kelly Jennings\JennKe20,CB,20,Miami (FL),College Stats,5-11,178,4.39,40.0,,120,,4.00,Seattle Seahawks / 1st / 31st pick / 2006
67,2006,Julian Jenkins\JenkJu20,DE,1,Stanford,College Stats,6-4,277,5.03,34.5,25,110,7.11,4.23,Tampa Bay Buccaneers / 5th / 156th pick / 2006
68,2006,T.J. Jackson\JackTo20,DT,0,Auburn,College Stats,6-0,304,5.15,31.0,26,104,7.72,4.60,
69,2006,D'Qwell Jackson\JackDQ20,ILB,79,Maryland,College Stats,6-0,230,4.73,37.0,19,116,7.05,4.36,Cleveland Browns / 2nd / 34th pick / 2006
70,2006,Brian Iwuh\IwuhBr20,OLB,8,Colorado,College Stats,6-0,234,4.66,,20,,,,
71,2006,Clint Ingram\IngrCl20,OLB,23,Oklahoma,College Stats,6-2,244,4.65,41.0,22,,7.12,4.10,Jacksonville Jaguars / 3rd / 80th pick / 2006
72,2006,Darrell Hunter\HuntDa23,CB,0,Miami (OH),College Stats,6-0,206,4.44,36.0,8,123,,4.11,
73,2006,Michael Huff\HuffMi20,SS,38,Texas,College Stats,6-0,204,4.34,40.5,21,125,,,Oakland Raiders / 1st / 7th pick / 2006
74,2006,Marcus Hudson\HudsMa20,FS,5,North Carolina State,College Stats,6-1,194,4.55,,11,,,,San Francisco 49ers / 6th / 192nd pick / 2006
75,2006,Oliver Hoyte\HoytOl20,ILB,2,North Carolina State,College Stats,6-3,245,4.93,32.0,19,112,7.47,4.30,
76,2006,Thomas Howard\HowaTh20,OLB,38,Texas-El Paso,College Stats,6-3,239,4.42,39.0,21,124,6.96,4.28,Oakland Raiders / 2nd / 38th pick / 2006
77,2006,Abdul Hodge\HodgAb20,ILB,2,Iowa,College Stats,6-0,236,4.76,31.0,,108,7.09,4.30,Green Bay Packers / 3rd / 67th pick / 2006
78,2006,Tye Hill\HillTy20,CB,10,Clemson,College Stats,5-10,185,4.34,41.0,,129,6.63,4.01,St. Louis Rams / 1st / 15th pick / 2006
79,2006,Eric Henderson\HendEr20,DE,0,Georgia Tech,College Stats,6-2,270,4.75,,30,,,,
80,2006,A.J. Hawk\HawkA.20,OLB,74,Ohio State,College Stats,6-1,248,4.59,40.0,24,115,6.82,3.96,Green Bay Packers / 1st / 5th pick / 2006
81,2006,Spencer Havner\HavnSp00,ILB,1,UCLA,College Stats,6-3,242,4.69,39.0,,116,6.81,4.07,
82,2006,Jason Hatcher\HatcJa20,DE,39,Grambling State,,6-6,284,4.82,35.5,28,113,7.67,4.49,Dallas Cowboys / 3rd / 92nd pick / 2006
83,2006,Orien Harris\HarrOr20,DT,2,Miami (FL),College Stats,6-3,301,5.27,,25,,,,Pittsburgh Steelers / 4th / 133rd pick / 2006
84,2006,Roman Harper\HarpRo21,FS,59,Alabama,College Stats,6-0,198,4.50,,19,,,,New Orleans Saints / 2nd / 43rd pick / 2006
85,2006,Parys Haralson\HaraPa20,DE,42,Tennessee,College Stats,6-1,253,4.80,32.0,24,115,7.37,4.26,San Francisco 49ers / 5th / 140th pick / 2006
86,2006,Tamba Hali\HaliTa20,DE,97,Penn State,College Stats,6-3,275,4.87,,,,,,Kansas City Chiefs / 1st / 20th pick / 2006
87,2006,Cedric Griffin\GrifCe20,FS,29,Texas,College Stats,6-0,199,4.51,35.5,17,125,6.84,4.10,Minnesota Vikings / 2nd / 48th pick / 2006
88,2006,Marcus Green\GreeMa20,DT,0,Ohio State,College Stats,6-1,295,5.14,31.0,33,108,7.62,4.86,
89,2006,Chad Greenway\GreeCh99,OLB,80,Iowa,College Stats,6-2,242,4.76,33.5,16,117,7.00,4.22,Minnesota Vikings / 1st / 17th pick / 2006
90,2006,Charles Gordon\GordCh20,CB,4,Kansas,College Stats,5-10,183,4.60,35.5,12,115,6.95,4.20,
91,2006,Kedric Golston\GolsKe20,DT,29,Georgia,College Stats,6-4,300,4.88,33.0,31,111,7.60,4.45,Washington Redskins / 6th / 196th pick / 2006
92,2006,Chris Gocong\GocoCh99,DE,35,Cal Poly,,6-2,263,4.70,38.5,28,123,7.05,4.08,Philadelphia Eagles / 3rd / 71st pick / 2006
93,2006,Omar Gaither\GaitOm20,OLB,28,Tennessee,College Stats,6-1,234,4.78,37.0,23,116,7.31,4.28,Philadelphia Eagles / 5th / 168th pick / 2006
94,2006,Keith Ellison\ElliKe20,OLB,20,Oregon State,College Stats,6-1,235,4.76,32.5,24,115,7.22,4.16,Buffalo Bills / 6th / 178th pick / 2006
95,2006,Ray Edwards\EdwaRa21,DE,42,Purdue,College Stats,6-5,273,4.81,39.0,30,114,7.71,4.57,Minnesota Vikings / 4th / 127th pick / 2006
96,2006,Dusty Dvoracek\DvorDu99,DT,6,Oklahoma,College Stats,6-3,306,5.01,34.0,31,110,7.62,4.35,Chicago Bears / 3rd / 73rd pick / 2006
97,2006,Elvis Dumervil\DumeEl20,DE,78,Louisville,College Stats,5-11,257,4.75,,30,,,,Denver Broncos / 4th / 126th pick / 2006
98,2006,Reed Doughty\DougRe20,FS,23,Northern Colorado,,6-0,209,4.65,37.0,15,121,6.66,4.17,Washington Redskins / 6th / 173rd pick / 2006
99,2006,Tim Dobbins\DobbTi20,ILB,21,Iowa State,College Stats,6-1,246,4.59,35.5,23,110,7.25,4.39,San Diego Chargers / 5th / 151st pick / 2006
100,2006,Dee McCann,CB,,West Virginia,College Stats,5-11,197,4.53,40.5,,122,7.35,4.38,Detroit Lions / 6th / 179th pick / 2006
101,2006,Antonio Cromartie\CromAn20,CB,74,Florida State,College Stats,6-2,208,4.47,38.0,18,132,,,San Diego Chargers / 1st / 19th pick / 2006
102,2006,Barry Cofield\CofiBa20,DT,54,Northwestern,College Stats,6-4,304,4.95,34.0,35,105,7.43,4.35,New York Giants / 4th / 124th pick / 2006
103,2006,DeMario Minter,CB,,Georgia,College Stats,5-11,190,4.52,38.5,10,131,6.87,4.10,Cleveland Browns / 5th / 152nd pick / 2006
104,2006,Bobby Carpenter\CarpBo20,OLB,11,Ohio State,College Stats,6-2,256,4.65,,,,,,Dallas Cowboys / 1st / 18th pick / 2006
105,2006,Brodrick Bunkley\BunkBr20,DT,49,Florida State,College Stats,6-3,306,5.01,32.5,44,113,,,Philadelphia Eagles / 1st / 14th pick / 2006
106,2006,Daniel Bullocks\BullDa20,SS,7,Nebraska,College Stats,6-0,212,4.38,38.0,18,124,6.91,4.16,Detroit Lions / 2nd / 40th pick / 2006
107,2006,Copeland Bryan\BryaCo99,DE,3,Arizona,College Stats,6-4,253,4.90,33.0,16,117,7.11,4.30,
108,2006,McKinley Boykin\BoykMc99,DT,0,Mississippi,College Stats,6-1,289,5.01,30.5,30,109,,4.75,
109,2006,Greg Blue\BlueGr20,FS,1,Georgia,College Stats,6-2,216,4.57,37.5,16,120,,,Minnesota Vikings / 5th / 149th pick / 2006
110,2006,Will Blackmon\BlacWi20,CB,20,Boston College,College Stats,6-0,198,4.47,41.0,,133,6.67,4.23,Green Bay Packers / 4th / 115th pick / 2006
111,2006,Darnell Bing\BingDa00,SS,0,Southern California,College Stats,6-2,227,4.53,34.0,17,120,7.25,4.07,Oakland Raiders / 4th / 101st pick / 2006
112,2006,Antoine Bethea\BethAn20,FS,75,Howard,,5-11,203,4.39,36.5,19,127,6.99,4.11,Indianapolis Colts / 6th / 207th pick / 2006
113,2006,Charles Bennett\BennCh21,DE,0,Clemson,College Stats,6-4,258,4.70,33.5,19,115,7.48,4.52,Tampa Bay Buccaneers / 7th / 241st pick / 2006
114,2006,Willie Andrews\AndrWi20,SS,3,Baylor,College Stats,5-9,193,4.43,36.5,7,124,6.99,4.27,New England Patriots / 7th / 229th pick / 2006
115,2006,Mark Anderson\AndeMa21,DE,23,Alabama,College Stats,6-4,254,4.62,42.0,20,127,6.95,4.22,Chicago Bears / 5th / 159th pick / 2006
116,2006,James Anderson\AndeJa21,OLB,35,Virginia Tech,College Stats,6-3,229,4.59,41.0,,121,6.67,4.07,Carolina Panthers / 3rd / 88th pick / 2006
117,2006,Jon Alston\AlstJo20,OLB,6,Stanford,College Stats,6-1,223,4.50,40.0,30,132,6.90,4.13,St. Louis Rams / 3rd / 77th pick / 2006
118,2006,Jason Allen\AlleJa23,FS,14,Tennessee,College Stats,6-1,209,4.39,39.5,17,131,6.75,3.81,Miami Dolphins / 1st / 16th pick / 2006
119,2006,Victor Adeyanju\AdeyVi20,DE,14,Indiana,College Stats,6-4,274,4.86,32.0,22,112,7.37,4.41,St. Louis Rams / 4th / 113th pick / 2006
120,2006,Titus Adams\AdamTi00,DT,0,Nebraska,College Stats,6-3,306,5.07,30.5,15,103,7.49,4.54,New York Jets / 7th / 220th pick / 2006
121,2006,Justin Wyatt,CB,,Southern California,College Stats,5-9,189,4.72,,14,,,,
122,2006,Scott Ware,SS,,Southern California,College Stats,6-1,218,4.70,37.0,15,115,7.05,4.25,
123,2006,John Walker,CB,,Southern California,College Stats,6-0,205,4.62,40.0,,125,,4.16,
124,2006,Cameron Vaughn,OLB,,LSU,College Stats,6-4,235,4.65,32.0,17,117,7.24,4.22,
125,2006,Anthony Trucks,OLB,,Oregon,College Stats,6-1,233,4.76,37.0,22,125,7.00,4.14,
126,2006,John Torp,P,,Colorado,College Stats,6-2,212,4.73,,,,,,
127,2006,Joel Stelly,P,,Louisiana-Monroe,College Stats,5-10,197,4.68,,,,,,
128,2006,LeKevin Smith,DT,,Michigan State,,6-3,316,4.97,30.5,30,109,7.93,4.92,
129,2006,Dwayne Slay,FS,,Texas Tech,College Stats,6-3,216,4.78,32.5,,112,,,
130,2006,Darrell Adams,DE,,Villanova,,6-5,277,5.00,27.0,22,109,7.91,4.76,
131,2006,Jahmile Addae,FS,,West Virginia,College Stats,5-10,214,4.70,38.5,,122,,,
132,2006,Sir Henry Anderson,DT,,Oregon State,College Stats,6-4,306,5.19,28.5,27,100,7.69,4.55,
133,2006,Danny Baugher,P,,Arizona,College Stats,5-10,194,,,,,,,
134,2006,Trent Bray,ILB,,Oregon State,College Stats,6-1,231,4.90,32.0,18,109,7.15,4.41,
135,2006,Darrell Brooks,FS,,Arizona,College Stats,6-0,198,4.61,36.5,7,125,6.97,4.36,
136,2006,Manaia Brown,DT,,BYU,College Stats,6-3,301,5.10,34.5,21,111,7.63,4.47,
137,2006,Marcus Demps,FS,,San Diego State,College Stats,6-0,198,4.70,31.0,17,117,6.91,4.09,
138,2006,Will Derting,ILB,,Washington State,College Stats,6-0,247,4.74,,,,,,
139,2006,Kader Drame,DT,,Syracuse,College Stats,6-5,290,5.25,30.5,17,108,8.12,,
140,2006,Chris Harrell,SS,,Penn State,College Stats,6-0,209,4.70,40.5,15,119,7.02,4.12,
141,2006,Chris Hawkins,CB,,Marshall,College Stats,5-10,183,4.51,37.0,16,116,,4.18,
142,2006,Jarvis Herring,SS,,Florida,College Stats,5-11,207,4.85,36.5,15,116,7.34,4.23,
143,2006,Reuben Houston,CB,,Georgia Tech,College Stats,6-0,192,4.62,41.5,21,127,,4.42,
144,2006,Charlton Keith,OLB,,Kansas,College Stats,6-4,237,4.78,30.5,12,109,7.03,4.36,
145,2006,Mike Kudla,DE,,Ohio State,College Stats,6-2,265,4.72,37.0,45,114,7.21,4.45,
146,2006,Josh Lay,CB,,Pittsburgh,,6-0,197,4.48,40.5,16,120,,,
147,2006,David Lonie,P,,California,College Stats,6-5,209,4.74,,,,,,
148,2006,Antonio Malone,CB,,Toledo,College Stats,6-0,200,4.59,34.0,10,111,7.05,4.10,
149,2006,Tom Malone,P,,Southern California,College Stats,6-0,212,4.87,,,,,,
150,2006,Vincent Meeks,SS,,Texas Tech,College Stats,5-11,210,4.85,33.0,11,112,,,
151,2006,Javon Nanton,DE,,Miami (FL),College Stats,6-3,250,4.80,28.5,22,108,,,
152,2006,Khalid Naziruddin,CB,,Texas Tech,College Stats,5-9,185,4.64,38.5,17,119,,,
153,2006,Thomas Olmsted,P,,Troy,College Stats,6-4,214,5.18,,,,,,
154,2006,Chijioke Onyenegecha,CB,,Oklahoma,College Stats,6-1,215,4.55,34.5,16,118,,,
155,2006,Kai Parham,ILB,,Virginia,College Stats,6-3,256,4.98,35.0,30,116,7.35,4.33,
156,2006,Matthew Rice,DE,,Penn State,,6-4,271,4.89,,,,7.60,4.34,
157,2006,Freddie Roach,ILB,,Alabama,College Stats,6-2,257,4.93,34.0,,111,7.49,4.42,
158,2006,Dale Robinson,ILB,,Arizona State,College Stats,6-0,231,4.76,33.0,18,108,7.29,4.30,
