Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
24,2013,Manti Te'o\TeoxMa00,ILB,21,Notre Dame,College Stats,6-1,241,4.82,33.0,,113,7.13,4.27,San Diego Chargers / 2nd / 38th pick / 2013
25,2013,Mike Taylor\TaylMi00,OLB,,Wisconsin,College Stats,6-1,234,4.75,,,,,,
26,2013,Jamar Taylor\TaylJa01,CB,14,Boise State,College Stats,5-11,192,4.39,35.0,22,127,6.82,4.06,Miami Dolphins / 2nd / 54th pick / 2013
27,2013,Devin Taylor\TaylDe00,DE,13,South Carolina,College Stats,6-7,266,4.72,35.0,14,128,6.89,4.30,Detroit Lions / 4th / 132nd pick / 2013
28,2013,Bruce Taylor\TaylBr03,ILB,,Virginia Tech,College Stats,6-1,237,5.01,30.5,19,115,7.21,4.39,
29,2013,Rod Sweeting\SweeRo01,CB,1,Georgia Tech,College Stats,5-11,189,4.42,37.0,11,124,,,
30,2013,D.J. Swearinger\SweaDJ00,FS,24,South Carolina,College Stats,5-10,208,4.67,37.0,17,124,6.70,4.11,Houston Texans / 2nd / 57th pick / 2013
31,2013,Walter Stewart\StewWa01,DE,,Cincinnati,College Stats,6-4,246,4.69,,,,,,
32,2013,Jonathan Stewart\StewJo01,ILB,,Texas A&M,College Stats,6-4,242,4.68,31.0,19,118,7.44,4.53,
33,2013,Jawanza Starling\StarJa01,SS,0,Southern California,College Stats,6-1,202,4.64,36.0,17,122,6.68,4.34,
34,2013,Daimion Stafford\StafDa00,FS,7,Nebraska,College Stats,6-0,221,4.69,30.5,21,111,7.06,,Tennessee Titans / 7th / 248th pick / 2013
35,2013,Damion Square\SquaDa00,DE,7,Alabama,College Stats,6-2,293,5.23,,,,,,
36,2013,Akeem Spence\SpenAk00,DT,19,Illinois,College Stats,6-1,307,5.15,30.0,37,107,7.82,4.72,Tampa Bay Buccaneers / 4th / 100th pick / 2013
37,2013,Quanterus Smith\SmitQu00,DE,1,Western Kentucky,College Stats,6-5,250,4.74,,,,,,Denver Broncos / 5th / 146th pick / 2013
38,2013,Jared Smith\SmitJa02,DT,,New Hampshire,,6-3,302,5.08,32.5,28,115,7.20,4.39,Seattle Seahawks / 7th / 241st pick / 2013
39,2013,Darius Slay\SlayDa00,CB,30,Mississippi State,College Stats,6-0,192,4.36,35.5,14,124,6.90,4.21,Detroit Lions / 2nd / 36th pick / 2013
40,2013,Jamoris Slaughter\SlauJa00,SS,,Notre Dame,College Stats,6-0,195,4.57,,,,,,Cleveland Browns / 6th / 175th pick / 2013
41,2013,Tharold Simon\SimoTh00,CB,3,LSU,College Stats,6-2,202,4.51,34.0,9,128,,,Seattle Seahawks / 5th / 138th pick / 2013
42,2013,John Simon\SimoJo01,OLB,14,Ohio State,College Stats,6-1,257,4.62,,,,,,Baltimore Ravens / 4th / 129th pick / 2013
43,2013,Kawann Short\ShorKa00,DT,35,Purdue,College Stats,6-3,299,5.08,,,,,,Carolina Panthers / 2nd / 44th pick / 2013
44,2013,Quinn Sharp\SharQu00,P,,Oklahoma State,College Stats,6-1,189,4.86,,,,,,
45,2013,Etienne Sabino\SabiEt00,OLB,,Ohio State,College Stats,6-2,247,4.75,,24,114,,,
46,2013,Logan Ryan\RyanLo00,CB,23,Rutgers,College Stats,5-11,191,4.56,32.5,14,116,6.69,4.06,New England Patriots / 3rd / 83rd pick / 2013
47,2013,Nickell Robey\RobeNi00,CB,13,Southern California,College Stats,5-7,169,4.53,37.5,10,127,6.74,4.09,
48,2013,Sheldon Richardson\RichSh00,DT,46,Missouri,College Stats,6-2,294,5.02,32.0,30,116,,,New York Jets / 1st / 13th pick / 2013
49,2013,Xavier Rhodes\RhodXa00,CB,34,Florida State,College Stats,6-1,210,4.43,40.5,14,132,,,Minnesota Vikings / 1st / 25th pick / 2013
50,2013,Eric Reid\ReidEr00,FS,28,LSU,College Stats,6-1,213,4.53,40.5,17,134,6.99,4.22,San Francisco 49ers / 1st / 18th pick / 2013
51,2013,Kevin Reddick\ReddKe00,ILB,1,North Carolina,College Stats,6-1,243,4.72,,23,113,,,
52,2013,Bacarri Rambo\RambBa00,FS,8,Georgia,College Stats,6-0,211,4.56,,17,,,,Washington Redskins / 6th / 191st pick / 2013
53,2013,Jordan Poyer\PoyeJo00,CB,11,Oregon State,College Stats,6-0,191,4.54,30.5,8,118,6.87,4.18,Philadelphia Eagles / 7th / 218th pick / 2013
54,2013,Ty Powell\PoweTy00,OLB,1,Harding,,6-2,249,4.64,37.0,28,122,6.98,4.40,Seattle Seahawks / 7th / 231st pick / 2013
55,2013,Keith Pough\PougKe01,ILB,,Howard,,6-2,239,4.87,33.0,17,118,7.28,4.47,
56,2013,Sean Porter\PortSe00,OLB,0,Texas A&M,College Stats,6-1,229,4.75,35.0,22,119,,,Cincinnati Bengals / 4th / 118th pick / 2013
57,2013,Alex Okafor\OkafAl00,DE,21,Texas,College Stats,6-4,264,4.78,,21,,,,Arizona Cardinals / 4th / 103rd pick / 2013
58,2013,Alec Ogletree\OgleAl00,OLB,41,Georgia,College Stats,6-2,242,4.70,33.5,20,122,7.16,4.39,St. Louis Rams / 1st / 30th pick / 2013
59,2013,Zeke Motta\MottZe00,SS,1,Notre Dame,College Stats,6-2,213,4.75,35.5,11,126,6.75,4.16,Atlanta Falcons / 7th / 244th pick / 2013
60,2013,Sio Moore\MoorSi00,OLB,16,Connecticut,College Stats,6-1,245,4.65,38.0,29,127,7.49,4.31,Oakland Raiders / 3rd / 66th pick / 2013
61,2013,Damontre Moore\MoorDa01,DE,4,Texas A&M,College Stats,6-4,250,4.95,35.5,12,122,,,New York Giants / 3rd / 81st pick / 2013
62,2013,Nick Moody\MoodNi00,OLB,2,Florida State,College Stats,6-1,236,4.71,,17,118,,,San Francisco 49ers / 6th / 180th pick / 2013
63,2013,Sam Montgomery\MontSa00,DE,,LSU,College Stats,6-3,262,4.81,34.5,,114,7.18,4.51,Houston Texans / 3rd / 95th pick / 2013
64,2013,Kevin Minter\MintKe00,ILB,25,LSU,College Stats,6-0,246,4.81,33.0,25,119,,,Arizona Cardinals / 2nd / 45th pick / 2013
65,2013,Barkevious Mingo\MingBa00,OLB,17,LSU,College Stats,6-4,241,4.58,37.0,,128,6.84,4.39,Cleveland Browns / 1st / 6th pick / 2013
66,2013,Dee Milliner\MillDe00,CB,6,Alabama,College Stats,6-0,201,4.37,36.0,,122,6.95,4.32,New York Jets / 1st / 9th pick / 2013
67,2013,Rontez Miles\MileRo00,FS,4,California (PA),,6-0,203,4.62,36.5,,123,6.97,4.27,
68,2013,Stacy McGee\McGeSt01,DT,16,Oklahoma,College Stats,6-3,308,4.98,,,,,,Oakland Raiders / 6th / 205th pick / 2013
69,2013,Brandon McGee\McGeBr00,CB,1,Miami (FL),College Stats,5-11,193,4.40,33.5,14,119,6.71,4.18,St. Louis Rams / 5th / 149th pick / 2013
70,2013,Leon McFadden\McFaLe00,CB,2,San Diego State,College Stats,5-10,193,4.54,34.5,10,119,6.81,4.27,Cleveland Browns / 3rd / 68th pick / 2013
71,2013,T.J. McDonald\McDoTJ00,FS,24,Southern California,College Stats,6-2,219,4.59,40.0,19,131,6.89,4.20,St. Louis Rams / 3rd / 71st pick / 2013
72,2013,Lerentee McCray\McCrLe01,OLB,4,Florida,College Stats,6-2,250,4.74,,,,,,
73,2013,Demetrius McCray\McCrDe00,CB,8,Appalachian State,,6-1,187,4.54,36.0,4,126,7.17,4.32,Jacksonville Jaguars / 7th / 210th pick / 2013
74,2013,Michael Mauti\MautMi00,OLB,5,Penn State,College Stats,6-2,243,4.83,,28,,,,Minnesota Vikings / 7th / 213th pick / 2013
75,2013,Tyrann Mathieu\MathTy00,CB,27,LSU,,5-9,186,4.50,34.0,4,117,6.87,4.14,Arizona Cardinals / 3rd / 69th pick / 2013
76,2013,Stansly Maponga\MapoSt00,DE,2,TCU,College Stats,6-2,256,4.78,,30,,,,Atlanta Falcons / 5th / 153rd pick / 2013
77,2013,Brandon Magee\MageBr00,OLB,2,Arizona State,College Stats,5-11,223,4.74,,,114,,,
78,2013,Star Lotulelei\LotuSt00,DT,34,Utah,College Stats,6-2,311,5.14,,,,,,Carolina Panthers / 1st / 14th pick / 2013
79,2013,John Lotulelei\LotuJo00,OLB,1,UNLV,College Stats,5-11,233,4.84,35.5,25,117,6.91,4.30,
80,2013,Bennie Logan\LogaBe00,DT,34,LSU,College Stats,6-2,309,5.08,25.0,30,104,7.53,4.67,Philadelphia Eagles / 3rd / 67th pick / 2013
81,2013,Jeff Locke\LockJe00,P,7,UCLA,College Stats,6-1,209,4.82,,,,,,Minnesota Vikings / 5th / 155th pick / 2013
82,2013,Kapron Lewis-Moore\LewiKa00,DT,0,Notre Dame,College Stats,6-4,298,4.95,,,,,,Baltimore Ravens / 6th / 200th pick / 2013
83,2013,Robert Lester\LestRo00,SS,,Alabama,College Stats,6-1,220,4.66,33.5,,117,,,
84,2013,Corey Lemonier\LemoCo00,DE,4,Auburn,College Stats,6-3,255,4.60,33.0,27,119,7.14,4.40,San Francisco 49ers / 3rd / 88th pick / 2013
85,2013,Joe Kruger\KrugJo00,DE,,Utah,College Stats,6-6,269,4.83,34.0,24,117,7.17,4.46,Philadelphia Eagles / 7th / 212th pick / 2013
86,2013,Scott Kovanda\KovaSc00,P,,Ball State,College Stats,6-2,207,4.84,,,,,,
87,2013,Jake Knott\KnotJa00,OLB,1,Iowa State,College Stats,6-2,243,4.84,,,,,,
88,2013,A.J. Klein\KleiAJ00,ILB,18,Iowa State,College Stats,6-1,250,4.66,,20,113,,,Carolina Panthers / 5th / 148th pick / 2013
89,2013,Dion Jordan\JordDi00,OLB,4,Oregon,College Stats,6-6,248,4.54,32.5,,122,7.02,4.35,Miami Dolphins / 1st / 3rd pick / 2013
90,2013,Jarvis Jones\JoneJa05,OLB,19,Georgia,College Stats,6-2,245,4.74,,,,,,Pittsburgh Steelers / 1st / 17th pick / 2013
91,2013,Datone Jones\JoneDa03,DE,11,UCLA,College Stats,6-4,283,4.80,31.5,29,112,7.32,4.32,Green Bay Packers / 1st / 26th pick / 2013
92,2013,Chris Jones\JoneCh04,DT,15,Bowling Green,College Stats,6-2,302,5.33,,30,,7.34,4.44,Houston Texans / 6th / 198th pick / 2013
93,2013,Abry Jones\JoneAb00,DT,17,Georgia,College Stats,6-3,313,5.06,26.5,30,101,,,
94,2013,Nico Johnson\JohnNi00,ILB,3,Alabama,College Stats,6-2,248,4.73,,,,,,Kansas City Chiefs / 4th / 99th pick / 2013
95,2013,Keelan Johnson\JohnKe03,SS,0,Arizona State,College Stats,6-0,209,4.54,36.5,12,125,6.77,4.07,
96,2013,Josh Johnson\JohnJo06,CB,,Purdue,College Stats,5-9,199,4.65,35.0,16,114,6.99,4.25,
97,2013,John Jenkins\JenkJo00,DT,12,Georgia,College Stats,6-4,346,5.21,,30,,,,New Orleans Saints / 3rd / 82nd pick / 2013
98,2013,Jelani Jenkins\JenkJe00,ILB,17,Florida,College Stats,6-0,243,4.65,,27,,,,Miami Dolphins / 4th / 104th pick / 2013
99,2013,Brandon Jenkins\JenkBr00,DE,0,Florida State,College Stats,6-2,251,5.07,,18,,,,Washington Redskins / 5th / 162nd pick / 2013
100,2013,Tony Jefferson\JeffTo00,FS,20,Oklahoma,College Stats,5-11,213,4.75,,16,,,,
101,2013,Micah Hyde\HydeMi00,CB,25,Iowa,College Stats,6-0,197,4.56,33.0,12,121,6.78,4.20,Green Bay Packers / 5th / 159th pick / 2013
102,2013,Margus Hunt\HuntMa00,DE,7,Southern Methodist,College Stats,6-8,277,4.62,34.5,38,121,7.07,4.51,Cincinnati Bengals / 2nd / 53rd pick / 2013
103,2013,Montori Hughes\HughMo00,DT,2,Tennessee-Martin,,6-4,329,5.23,26.5,22,104,7.85,4.70,Indianapolis Colts / 5th / 139th pick / 2013
104,2013,DeVonte Holloman\HollDe01,OLB,1,South Carolina,College Stats,6-1,243,4.76,33.0,15,113,7.30,4.26,Dallas Cowboys / 6th / 185th pick / 2013
105,2013,Gerald Hodges\HodgGe00,OLB,16,Penn State,College Stats,6-1,243,4.78,,22,119,,,Minnesota Vikings / 4th / 120th pick / 2013
106,2013,Jordan Hill\HillJo01,DT,6,Penn State,College Stats,6-1,303,5.23,22.5,28,103,7.49,4.51,Seattle Seahawks / 3rd / 87th pick / 2013
107,2013,Aaron Hester\HestAa00,CB,,UCLA,College Stats,6-2,198,4.62,29.0,,112,7.26,4.33,
108,2013,Brandon Hepburn\HepbBr00,ILB,,Florida A&M,,6-2,240,4.68,32.0,21,124,7.40,4.55,Detroit Lions / 7th / 245th pick / 2013
109,2013,D.J. Hayden\HaydDJ00,CB,11,Houston,College Stats,5-11,191,4.40,,,,,,Oakland Raiders / 1st / 12th pick / 2013
110,2013,Terry Hawthorne\HawtTe00,CB,,Illinois,College Stats,6-0,195,4.44,35.5,13,116,,,Pittsburgh Steelers / 5th / 150th pick / 2013
111,2013,Johnathan Hankins\HankJo00,DT,30,Ohio State,College Stats,6-3,320,5.31,26.0,,104,7.59,4.61,New York Giants / 2nd / 49th pick / 2013
112,2013,Cory Grissom\GrisCo00,DT,,South Florida,College Stats,6-1,306,5.31,27.5,22,97,7.79,4.81,
113,2013,Khaseem Greene\GreeKh00,OLB,3,Rutgers,College Stats,6-1,241,4.71,30.0,17,116,7.58,4.20,Chicago Bears / 4th / 117th pick / 2013
114,2013,Dwayne Gratz\GratDw00,CB,10,Connecticut,College Stats,5-11,201,4.47,38.0,22,125,6.70,4.15,Jacksonville Jaguars / 3rd / 64th pick / 2013
115,2013,Zaviar Gooden\GoodZa00,OLB,3,Missouri,College Stats,6-1,234,4.47,34.0,27,131,6.71,4.18,Tennessee Titans / 3rd / 97th pick / 2013
116,2013,Malliciah Goodman\GoodMa01,DE,5,Clemson,College Stats,6-4,276,4.87,31.5,26,114,,,Atlanta Falcons / 4th / 127th pick / 2013
117,2013,William Gholston\GholWi00,DE,22,Michigan State,College Stats,6-6,281,4.96,28.5,23,110,7.20,4.59,Tampa Bay Buccaneers / 4th / 126th pick / 2013
118,2013,Kwame Geathers\GeatKw00,DT,0,Georgia,College Stats,6-5,342,5.44,26.5,,96,8.11,5.27,
119,2013,Sharrif Floyd\FloySh00,DT,13,Florida,College Stats,6-3,297,4.92,30.0,,106,7.40,4.75,Minnesota Vikings / 1st / 23rd pick / 2013
120,2013,Josh Evans\EvanJo00,FS,14,Florida,College Stats,6-1,207,4.58,34.5,,123,6.64,4.10,Jacksonville Jaguars / 6th / 169th pick / 2013
121,2013,Matt Elam\ElamMa00,SS,12,Florida,College Stats,5-10,208,4.43,35.5,17,118,,,Baltimore Ravens / 1st / 32nd pick / 2013
122,2013,Lavar Edwards\EdwaLa00,DE,1,LSU,College Stats,6-4,277,4.80,33.0,,119,7.03,4.51,Tennessee Titans / 5th / 142nd pick / 2013
123,2013,Quinton Dial\DialQu00,DT,17,Alabama,College Stats,6-5,318,5.29,,,,,,San Francisco 49ers / 5th / 157th pick / 2013
124,2013,Everett Dawkins\DawkEv00,DT,0,Florida State,College Stats,6-2,292,5.06,30.0,23,103,7.61,4.88,Minnesota Vikings / 7th / 229th pick / 2013
125,2013,Will Davis\DaviWi02,CB,0,Utah State,College Stats,5-11,186,4.51,35.5,16,127,6.52,4.02,Miami Dolphins / 3rd / 93rd pick / 2013
126,2013,Jonathan Cyprien\CyprJo00,SS,26,Florida International,College Stats,6-0,217,4.64,38.5,,,,,Jacksonville Jaguars / 2nd / 33rd pick / 2013
127,2013,Sanders Commings\CommSa00,CB,0,Georgia,College Stats,6-0,216,4.41,34.5,,117,7.10,4.30,Kansas City Chiefs / 5th / 134th pick / 2013
128,2013,Jamie Collins\CollJa00,OLB,38,Southern Miss,College Stats,6-3,250,4.64,41.5,19,139,7.10,4.32,New England Patriots / 2nd / 52nd pick / 2013
129,2013,Tank Carradine\CarrCo00,DE,7,Virginia Tech,College Stats,6-4,276,4.90,,28,,,,San Francisco 49ers / 2nd / 40th pick / 2013
130,2013,Adrian Bushell\BushAd00,CB,,Louisville,College Stats,5-9,186,4.58,33.0,17,116,6.92,4.25,
131,2013,Michael Buchanan\BuchMi00,DE,0,Illinois,College Stats,6-5,255,4.78,33.0,22,113,6.91,4.44,New England Patriots / 7th / 226th pick / 2013
132,2013,Armonty Bryant\BryaAr00,DE,4,East Central (OK),,6-4,263,4.86,31.5,,118,7.32,5.00,Cleveland Browns / 7th / 217th pick / 2013
133,2013,Arthur Brown\BrowAr00,OLB,3,Kansas State,College Stats,6-0,241,4.62,,,116,,,Baltimore Ravens / 2nd / 56th pick / 2013
134,2013,John Boyett\BoyeJo00,FS,,Oregon,College Stats,5-10,204,4.64,,27,,,,Indianapolis Colts / 6th / 192nd pick / 2013
135,2013,Josh Boyd\BoydJo00,DT,4,Mississippi State,College Stats,6-3,310,5.14,26.5,32,104,7.16,4.64,Green Bay Packers / 5th / 167th pick / 2013
136,2013,Jon Bostic\BostJo00,OLB,14,Florida,College Stats,6-1,245,4.59,32.5,22,118,6.99,4.24,Chicago Bears / 2nd / 50th pick / 2013
137,2013,Steve Beauharnais\BeauSt00,ILB,0,Rutgers,College Stats,6-1,240,4.84,33.0,19,118,6.99,4.20,New England Patriots / 7th / 235th pick / 2013
138,2013,David Bass\BassDa00,DE,10,Missouri Western,,6-4,262,4.84,30.5,20,111,7.07,4.33,Oakland Raiders / 7th / 233rd pick / 2013
139,2013,Sam Barrington\BarrSa00,ILB,4,South Florida,College Stats,6-1,246,4.91,32.5,22,117,,,Green Bay Packers / 7th / 232nd pick / 2013
140,2013,T.J. Barnes\BarnT.00,DT,2,Georgia Tech,College Stats,6-6,369,5.30,22.0,25,97,8.26,4.96,
141,2013,Johnthan Banks\BankJo00,CB,13,Mississippi State,College Stats,6-2,185,4.61,34.0,10,125,6.97,4.27,Tampa Bay Buccaneers / 2nd / 43rd pick / 2013
142,2013,Marc Anthony\AnthMa00,CB,,California,College Stats,5-11,196,4.63,35.0,12,118,6.74,4.07,Baltimore Ravens / 7th / 247th pick / 2013
143,2013,Ziggy Ansah\AnsaEz00,DE,39,BYU,College Stats,6-5,271,4.56,34.5,21,118,7.11,4.26,Detroit Lions / 1st / 5th pick / 2013
144,2013,David Amerson\AmerDa00,CB,21,North Carolina State,College Stats,6-1,205,4.44,35.5,15,127,,,Washington Redskins / 2nd / 51st pick / 2013
145,2013,Kiko Alonso\AlonKi00,ILB,27,Oregon,College Stats,6-3,238,4.74,,,,,,Buffalo Bills / 2nd / 46th pick / 2013
146,2013,Ryan Allen\AlleRy01,P,11,Louisiana Tech,College Stats,6-1,229,4.98,,,,,,
147,2013,Robert Alford\AlfoRo00,CB,23,Southeastern Louisiana,,5-10,188,4.39,40.0,17,132,6.89,4.23,Atlanta Falcons / 2nd / 60th pick / 2013
148,2013,Johnny Adams\AdamJo02,CB,0,Michigan State,College Stats,5-10,185,4.48,,16,,,,
149,2013,Tom Wort,ILB,,Oklahoma,College Stats,6-0,235,4.78,31.5,21,111,7.41,4.51,
150,2013,Nathan Williams,OLB,,Ohio State,College Stats,6-3,241,4.88,35.0,24,113,6.99,4.44,
151,2013,Dax Swanson,CB,,Sam Houston State,,5-10,186,4.56,33.0,15,122,,,
152,2013,Dylan Breeding,P,,Arkansas,College Stats,6-1,213,4.74,29.0,11,110,,,
153,2013,Bobby Cowan,P,,Idaho,College Stats,6-4,219,5.13,,,,,,
154,2013,Alex Dunnachie,P,,Hawaii,College Stats,6-3,217,4.97,,,,,,
155,2013,Mike Edwards,CB,,Hawaii,College Stats,5-9,189,4.56,36.0,14,124,6.94,4.18,
156,2013,Josh Hubner,P,,Arizona State,College Stats,6-4,232,5.06,,13,,,,
157,2013,Brad McDougald,FS,,Illinois,,6-0,215,4.51,34.5,19,122,7.07,4.44,
158,2013,Greg Reid,CB,,Florida State,,5-8,190,4.46,,10,,,,
