Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2013,Blidi Wreh-Wilson\WrehBl00,CB,7,Connecticut,College Stats,6-1,195,4.53,36.0,14,128,6.97,4.12,Tennessee Titans / 3rd / 70th pick / 2013
2,2013,Khalid Wooten\WootKa00,CB,,Indiana,College Stats,5-11,210,4.53,33.5,17,117,6.95,4.18,
3,2013,Earl Wolff\WolfEa00,SS,4,North Carolina State,College Stats,5-11,209,4.44,39.0,,134,,4.07,Philadelphia Eagles / 5th / 136th pick / 2013
4,2013,Brad Wing\WingBr00,P,8,LSU,College Stats,6-2,205,4.86,,,,,,
5,2013,Trevardo Williams\WillTr02,OLB,0,Connecticut,College Stats,6-1,241,4.57,38.0,30,124,,,Houston Texans / 4th / 124th pick / 2013
6,2013,Tourek Williams\WillTo00,DE,5,Florida International,College Stats,6-3,260,4.92,33.0,25,112,,,San Diego Chargers / 6th / 179th pick / 2013
7,2013,Sylvester Williams\WillSy00,DT,29,North Carolina,College Stats,6-3,313,5.03,26.5,27,102,7.93,4.80,Denver Broncos / 1st / 28th pick / 2013
8,2013,Steve Williams\WillSt02,CB,4,California,College Stats,5-9,181,4.42,40.5,12,128,6.89,4.10,San Diego Chargers / 5th / 145th pick / 2013
9,2013,Shawn Williams\WillSh02,SS,16,Georgia,College Stats,6-0,213,4.46,36.0,25,120,7.01,4.25,Cincinnati Bengals / 3rd / 84th pick / 2013
10,2013,Nicholas Williams\WillNi01,DT,2,Samford,,6-4,309,4.94,33.0,28,111,7.55,4.65,Pittsburgh Steelers / 7th / 223rd pick / 2013
11,2013,Jesse Williams\WillJe02,DT,,Alabama,College Stats,6-3,323,4.94,,30,,,,Seattle Seahawks / 5th / 137th pick / 2013
12,2013,Duke Williams\WillDu00,SS,8,Nevada,College Stats,5-11,203,4.48,37.5,13,126,,4.00,Buffalo Bills / 4th / 105th pick / 2013
13,2013,Brandon Williams\WillBr02,DT,31,Missouri Southern,,6-1,335,5.37,29.5,38,102,8.09,4.91,Baltimore Ravens / 3rd / 94th pick / 2013
14,2013,J.J. Wilcox\WilcJ.00,SS,17,Georgia Southern,,6-0,213,4.57,35.0,17,124,7.02,4.09,Dallas Cowboys / 3rd / 80th pick / 2013
15,2013,Bjoern Werner\WernBj00,DE,10,Florida State,College Stats,6-3,266,4.83,31.0,25,111,7.30,4.40,Indianapolis Colts / 1st / 24th pick / 2013
16,2013,Kayvon Webster\WebsKa00,CB,10,South Florida,College Stats,5-10,195,4.41,35.0,14,125,,,Denver Broncos / 3rd / 90th pick / 2013
17,2013,B.W. Webb\WebbBW00,CB,6,William & Mary,,5-10,184,4.51,40.5,14,132,6.82,3.84,Dallas Cowboys / 4th / 114th pick / 2013
18,2013,Cornelius Washington\WashCo00,DE,6,Georgia,College Stats,6-4,265,4.55,39.0,36,128,,,Chicago Bears / 6th / 188th pick / 2013
19,2013,Kenny Vaccaro\VaccKe00,FS,24,Texas,College Stats,6-0,214,4.63,38.0,15,121,6.78,4.06,New Orleans Saints / 1st / 15th pick / 2013
20,2013,Desmond Trufant\TrufDe00,CB,30,Washington,College Stats,6-0,190,4.38,37.5,16,125,,3.85,Atlanta Falcons / 1st / 22nd pick / 2013
21,2013,Shamarko Thomas\ThomSh00,SS,5,Syracuse,College Stats,5-9,213,4.42,40.5,28,133,,4.26,Pittsburgh Steelers / 4th / 111th pick / 2013
22,2013,Phillip Thomas\ThomPh00,FS,2,Fresno State,College Stats,6-0,208,4.65,35.0,14,122,,,Washington Redskins / 4th / 119th pick / 2013
23,2013,Chase Thomas\ThomCh02,OLB,,Stanford,College Stats,6-3,244,4.91,32.0,18,113,7.17,4.31,
