Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
24,2001,Alex Lincoln,ILB,,Auburn,College Stats,6-0,251,4.77,35.0,22,111,,,San Francisco 49ers / 7th / 209th pick / 2001
25,2001,Richard Seymour\SeymRi00,DT,113,Georgia,,6-6,299,4.95,,,,,,New England Patriots / 1st / 6th pick / 2001
26,2001,Cedric Scott\ScotCe20,DE,1,Southern Miss,College Stats,6-6,281,4.86,35.5,23,107,7.67,4.37,New York Giants / 4th / 114th pick / 2001
27,2001,Carey Scott\ScotCa20,CB,0,Kentucky State,,5-11,208,4.65,30.0,,113,7.52,4.18,Minnesota Vikings / 6th / 189th pick / 2001
28,2001,Aaron Schobel\SchoAa99,DE,72,TCU,College Stats,6-4,263,4.75,38.0,,119,7.16,4.03,Buffalo Bills / 2nd / 46th pick / 2001
29,2001,John Schlecht\SchlJo20,DT,1,Minnesota,,6-0,295,4.95,31.5,27,101,7.45,4.30,
30,2001,Jace Sayler\SaylJa20,DT,1,Michigan State,,6-5,294,5.06,31.0,29,105,7.81,4.59,
31,2001,Shaun Rogers\RogeSh99,DT,72,Texas,,6-4,320,5.28,,,,,,Detroit Lions / 2nd / 61st pick / 2001
32,2001,Karon Riley\RileKa20,DE,1,Minnesota,College Stats,6-2,264,4.75,,,,,,Chicago Bears / 4th / 103rd pick / 2001
33,2001,Jamal Reynolds\ReynJa20,DE,3,Florida State,College Stats,6-3,267,4.72,,,,,,Green Bay Packers / 1st / 10th pick / 2001
34,2001,Tommy Polley\PollTo21,OLB,32,Florida State,College Stats,6-4,234,4.55,,,,,,St. Louis Rams / 2nd / 42nd pick / 2001
35,2001,Carlos Polk\PolkCa20,ILB,8,Nebraska,College Stats,6-2,251,4.76,,,,,,San Diego Chargers / 4th / 112th pick / 2001
36,2001,Ryan Pickett\PickRy20,DT,83,Ohio State,,6-2,309,5.10,,,,,,St. Louis Rams / 1st / 29th pick / 2001
37,2001,Ifeanyi Ohalete\OhalIf20,FS,21,Southern California,,6-2,221,4.64,,16,,,,
38,2001,Richard Newsome\NewsRi20,FS,1,Michigan State,College Stats,5-11,203,4.59,,14,,,,
39,2001,Leonard Myers\MyerLe20,CB,1,Miami (FL),College Stats,5-10,190,4.65,37.0,13,120,7.21,4.16,New England Patriots / 6th / 200th pick / 2001
40,2001,Dan Morgan\MorgDa99,ILB,33,Miami (FL),College Stats,6-2,240,4.54,,,,,,Carolina Panthers / 1st / 11th pick / 2001
41,2001,Zeke Moreno\MoreZe20,ILB,10,Southern California,College Stats,6-2,248,4.76,,24,,7.10,4.31,San Diego Chargers / 5th / 139th pick / 2001
42,2001,Mario Monds\MondMa20,DT,1,Cincinnati,,6-3,342,5.04,28.5,,99,8.06,4.73,Washington Redskins / 6th / 186th pick / 2001
43,2001,Dwayne Missouri\MissDw20,DE,0,Northwestern,College Stats,6-5,258,5.03,38.0,21,116,7.50,4.40,Baltimore Ravens / 7th / 231st pick / 2001
44,2001,Willie Middlebrooks\MiddWi20,CB,4,Minnesota,College Stats,6-2,200,4.50,,17,,,,Denver Broncos / 1st / 24th pick / 2001
45,2001,Rick Crowell,OLB,,Colorado State,College Stats,6-3,242,5.03,31.5,19,109,7.54,4.35,Miami Dolphins / 6th / 188th pick / 2001
46,2001,Marlon McCree\McCrMa20,SS,42,Kentucky,College Stats,5-11,197,4.62,38.0,10,117,7.36,4.10,Jacksonville Jaguars / 7th / 233rd pick / 2001
47,2001,Torrance Marshall\MarsTo20,ILB,7,Oklahoma,College Stats,6-2,249,4.70,,,,,,Green Bay Packers / 3rd / 72nd pick / 2001
48,2001,Ken Lucas\LucaKe20,CB,54,Mississippi,College Stats,6-0,200,4.45,,,,,,Seattle Seahawks / 2nd / 40th pick / 2001
49,2001,Damione Lewis\LewiDa20,DT,38,Miami (FL),,6-3,293,4.90,,22,,,,St. Louis Rams / 1st / 12th pick / 2001
50,2001,Justin Kurpeikis\KurpJu20,DE,0,Penn State,College Stats,6-3,252,4.97,31.5,22,118,6.82,4.10,
51,2001,Ross Kolodziej\KoloRo20,DE,11,Wisconsin,College Stats,6-3,290,4.87,34.5,25,111,7.37,4.36,New York Giants / 7th / 230th pick / 2001
52,2001,Eric Kelly\KellEr20,CB,9,Kentucky,College Stats,5-10,199,4.46,36.0,15,120,7.24,4.18,Minnesota Vikings / 3rd / 69th pick / 2001
53,2001,Bhawoh Jue\JuexBh20,CB,15,Penn State,College Stats,6-0,199,4.54,34.5,,113,7.21,4.27,Green Bay Packers / 3rd / 71st pick / 2001
54,2001,Ligarius Jennings\JennLi20,CB,1,Tennessee State,,5-9,202,4.67,34.0,11,120,7.07,4.03,
55,2001,Kris Jenkins\JenkKr00,DT,75,Maryland,,6-5,318,5.19,31.0,33,108,7.85,4.40,Carolina Panthers / 2nd / 44th pick / 2001
56,2001,David Leaverton,P,,Tennessee,College Stats,6-3,211,,,,,,,Jacksonville Jaguars / 5th / 142nd pick / 2001
57,2001,Michael Jameson\JameMi20,FS,3,Texas A&M,College Stats,5-11,186,4.50,34.5,9,118,7.13,4.20,Cleveland Browns / 6th / 165th pick / 2001
58,2001,Orlando Huff\HuffOr20,OLB,24,Fresno State,College Stats,6-2,245,4.70,,16,,,,Seattle Seahawks / 4th / 104th pick / 2001
59,2001,John Howell\HoweJo21,FS,8,Colorado State,College Stats,6-0,204,4.64,37.0,14,121,6.87,4.12,Tampa Bay Buccaneers / 4th / 117th pick / 2001
60,2001,Willie Howard\HowaWi20,DT,1,Stanford,College Stats,6-3,295,4.94,,23,,,,Minnesota Vikings / 2nd / 57th pick / 2001
61,2001,Rashad Holman\HolmRa20,CB,4,Louisville,College Stats,5-11,186,4.58,42.0,6,129,7.09,3.85,San Francisco 49ers / 6th / 179th pick / 2001
62,2001,Sedrick Hodge\HodgSe20,OLB,19,North Carolina,,6-4,244,4.49,32.0,21,120,,4.09,New Orleans Saints / 3rd / 70th pick / 2001
63,2001,Renaldo Hill\HillRe20,CB,45,Michigan State,College Stats,5-11,178,4.68,35.5,10,116,7.07,4.18,Arizona Cardinals / 7th / 202nd pick / 2001
64,2001,Anthony Herron\HerrAn21,DE,0,Iowa,,6-3,280,5.16,36.0,26,114,7.58,4.43,
65,2001,Anthony Henry\HenrAn20,CB,47,South Florida,College Stats,6-1,198,4.60,41.0,15,126,6.90,4.20,Cleveland Browns / 4th / 97th pick / 2001
66,2001,Jamie Henderson\HendJa20,CB,3,Georgia,College Stats,6-1,202,4.48,40.5,10,125,6.90,4.12,New York Jets / 4th / 101st pick / 2001
67,2001,Reggie Hayward\HaywRe20,DE,36,Iowa State,,6-5,255,4.91,41.0,21,127,7.43,4.43,Denver Broncos / 3rd / 87th pick / 2001
68,2001,Shaunard Harts\HartSh20,SS,8,Boise State,College Stats,6-0,200,4.56,34.5,12,119,7.14,,Kansas City Chiefs / 7th / 212th pick / 2001
69,2001,Nick Harris\HarrNi20,P,23,California,College Stats,6-2,221,,,,,,,Denver Broncos / 4th / 120th pick / 2001
70,2001,Casey Hampton\HampCa00,DT,95,Texas,College Stats,6-1,314,5.25,,34,,,,Pittsburgh Steelers / 1st / 19th pick / 2001
71,2001,Corey Hall\HallCo20,FS,0,Appalachian State,,6-3,198,4.50,36.5,14,127,,,Atlanta Falcons / 7th / 215th pick / 2001
72,2001,Morlon Greenwood\GreeMo20,OLB,46,Syracuse,,6-0,237,4.69,33.5,21,112,7.62,4.08,Miami Dolphins / 3rd / 88th pick / 2001
73,2001,DeLawrence Grant\GranDe20,DE,13,Oregon State,College Stats,6-3,280,4.77,,,,,,Oakland Raiders / 3rd / 89th pick / 2001
74,2001,Jason Glenn\GlenJa20,OLB,8,Texas A&M,College Stats,6-1,236,4.94,36.0,14,115,7.16,4.31,Detroit Lions / 6th / 173rd pick / 2001
75,2001,Derrick Gibson\GibsDe21,SS,13,Florida State,College Stats,6-2,218,4.45,,17,,,,Oakland Raiders / 1st / 28th pick / 2001
76,2001,Curtis Fuller\FullCu20,FS,3,TCU,College Stats,5-10,186,4.45,36.0,18,114,7.20,4.21,Seattle Seahawks / 4th / 127th pick / 2001
77,2001,Jamar Fletcher\FletJa20,CB,11,Wisconsin,College Stats,5-9,180,4.48,,,,,,Miami Dolphins / 1st / 26th pick / 2001
78,2001,Mario Fatafehi\FataMa20,DT,14,Kansas State,,6-2,295,5.29,,,,,,Arizona Cardinals / 5th / 133rd pick / 2001
79,2001,Ron Edwards\EdwaRo20,DT,46,Texas A&M,,6-3,293,4.86,,,,,,Buffalo Bills / 3rd / 76th pick / 2001
80,2001,Nijrell Eason\EasoNi21,CB,0,Arizona State,College Stats,6-1,201,4.59,34.5,19,119,,,
81,2001,Andre Dyson\DysoAn20,CB,36,Utah,College Stats,5-10,179,4.40,,,119,,,Tennessee Titans / 2nd / 60th pick / 2001
82,2001,Eric Downing\DownEr20,DT,7,Syracuse,,6-3,302,5.23,,27,,,,Kansas City Chiefs / 3rd / 75th pick / 2001
83,2001,Jason Doering\DoerJa20,FS,5,Wisconsin,College Stats,5-11,202,4.73,,,,7.07,4.12,Indianapolis Colts / 6th / 193rd pick / 2001
84,2001,Tony Dixon\DixoTo20,SS,9,Alabama,College Stats,6-1,213,4.63,37.0,17,117,7.38,,Dallas Cowboys / 2nd / 56th pick / 2001
85,2001,Anthony Denman\DenmAn20,ILB,2,Notre Dame,,6-1,239,4.76,,,,,,Jacksonville Jaguars / 7th / 213th pick / 2001
86,2001,Paul Toviessi,DE,,Marshall,College Stats,6-6,260,4.78,33.5,,120,7.06,4.32,Denver Broncos / 2nd / 51st pick / 2001
87,2001,Jarrod Cooper\CoopJa20,SS,9,Kansas State,,6-0,222,4.45,41.5,,130,6.87,3.90,Carolina Panthers / 5th / 143rd pick / 2001
88,2001,Chris Cooper\CoopCh20,DE,13,Nebraska-Omaha,,6-5,272,4.95,35.5,24,114,7.12,4.21,Oakland Raiders / 6th / 184th pick / 2001
89,2001,Tay Cody\CodyTa20,CB,4,Florida State,College Stats,5-9,181,4.55,,11,,,,San Diego Chargers / 3rd / 67th pick / 2001
90,2001,Nate Clements\ClemNa99,CB,82,Ohio State,College Stats,5-11,209,4.38,,,,,,Buffalo Bills / 1st / 21st pick / 2001
91,2001,Jeremiah Pharms,OLB,,Washington,College Stats,6-0,257,4.91,32.5,,106,7.37,4.53,Cleveland Browns / 5th / 134th pick / 2001
92,2001,Patrick Chukwurah\ChukPa20,OLB,9,Wyoming,College Stats,6-2,238,4.77,40.0,24,119,7.34,4.21,Minnesota Vikings / 5th / 157th pick / 2001
93,2001,Quinton Caver\CaveQu20,ILB,5,Arkansas,College Stats,6-4,227,4.67,37.5,23,118,7.66,4.25,Philadelphia Eagles / 2nd / 55th pick / 2001
94,2001,Andre Carter\CartAn20,DE,76,California,College Stats,6-4,249,4.84,38.5,20,132,,4.24,San Francisco 49ers / 1st / 7th pick / 2001
95,2001,Robert Carswell\CarsRo20,FS,1,Clemson,College Stats,6-0,214,4.59,34.0,21,106,7.14,4.18,San Diego Chargers / 7th / 244th pick / 2001
96,2001,Jerametrius Butler\ButlJe20,CB,18,Kansas State,College Stats,5-10,173,4.57,36.0,11,121,7.22,4.40,St. Louis Rams / 5th / 145th pick / 2001
97,2001,Derrick Burgess\BurgDe99,DE,47,Mississippi,College Stats,6-2,264,4.92,40.0,24,125,7.85,,Philadelphia Eagles / 3rd / 63rd pick / 2001
98,2001,James Boyd\BoydJa20,SS,2,Penn State,College Stats,5-11,207,4.59,32.5,,117,7.29,4.24,Jacksonville Jaguars / 3rd / 94th pick / 2001
99,2001,Fred Booker\BookFr20,CB,1,LSU,College Stats,5-9,193,4.65,,,,,,
100,2001,Willie Blade\BladWi20,DT,8,Mississippi State,,6-3,316,4.93,,,,,,Dallas Cowboys / 3rd / 93rd pick / 2001
101,2001,Harold Blackmon\BlacHa20,CB,1,Northwestern,College Stats,5-11,210,4.54,37.0,17,121,7.03,4.28,Seattle Seahawks / 7th / 210th pick / 2001
102,2001,Cory Bird\BirdCo20,SS,6,Virginia Tech,College Stats,5-10,217,4.60,,22,,,,Indianapolis Colts / 3rd / 91st pick / 2001
103,2001,Marcus Bell\BellMa20,DT,14,Memphis,College Stats,6-1,319,5.32,,17,98,8.07,4.71,Arizona Cardinals / 4th / 123rd pick / 2001
104,2001,Kendrell Bell\BellKe20,ILB,44,Georgia,College Stats,6-1,234,4.64,38.5,24,124,7.25,4.50,Pittsburgh Steelers / 2nd / 39th pick / 2001
105,2001,Monty Beisel\BeisMo20,DE,13,Kansas State,College Stats,6-4,270,4.83,34.5,25,110,7.32,4.28,Kansas City Chiefs / 4th / 107th pick / 2001
106,2001,Gary Baxter\BaxtGa20,CB,21,Baylor,,6-2,204,4.53,37.5,,122,7.39,4.21,Baltimore Ravens / 2nd / 62nd pick / 2001
107,2001,Idrees Bashir\BashId20,FS,20,Memphis,College Stats,6-2,206,4.56,40.0,22,126,7.14,4.20,Indianapolis Colts / 2nd / 37th pick / 2001
108,2001,Jason Baker\BakeJa20,P,20,Iowa,College Stats,6-1,198,,,,,,,
109,2001,Rodney Bailey\BailRo21,DE,8,Ohio State,,6-3,283,5.10,,,,,,Pittsburgh Steelers / 6th / 181st pick / 2001
110,2001,Adam Archuleta\ArchAd20,SS,37,Arizona State,College Stats,6-0,211,4.46,,31,,,,St. Louis Rams / 1st / 20th pick / 2001
111,2001,Will Allen\AlleWi20,CB,55,Syracuse,College Stats,5-10,192,4.44,39.5,14,121,6.78,3.90,New York Giants / 1st / 22nd pick / 2001
112,2001,Matt Allen\AlleMa20,P,1,Troy,,6-3,246,,,,,,,
113,2001,Brian Allen\AlleBr21,OLB,8,Florida State,College Stats,6-0,238,4.65,,25,,,,St. Louis Rams / 3rd / 83rd pick / 2001
114,2001,Hakim Akbar\AkbaHa20,FS,0,Washington,College Stats,6-0,210,4.55,,,,,,New England Patriots / 5th / 163rd pick / 2001
115,2001,Keith Adams\AdamKe20,OLB,16,Clemson,College Stats,5-11,219,4.82,,24,104,,,Tennessee Titans / 7th / 232nd pick / 2001
116,2001,Emile White,SS,,Houston,College Stats,6-0,219,4.68,34.5,16,111,7.26,,
117,2001,David Warren,DE,,Florida State,College Stats,6-2,253,4.73,,21,,7.53,4.46,
118,2001,Clevan Thomas,CB,,Florida State,College Stats,5-9,189,4.64,36.0,,118,7.42,4.24,
119,2001,Rickie Simpkins,DT,,Syracuse,,6-3,287,5.28,29.5,,97,7.65,4.52,
120,2001,Roland Seymour,DE,,Florida State,,6-3,250,4.75,,,,,,
121,2001,Anthony Sessions,OLB,,Tennessee,,6-0,228,4.80,,19,,,,
122,2001,Randy Black,SS,,UNLV,College Stats,6-0,205,4.74,35.5,,115,7.14,4.20,
123,2001,Al Blades,SS,,Miami (FL),College Stats,6-1,209,4.56,,,,,,
124,2001,Roylin Bradley,OLB,,Texas A&M,,6-1,243,4.67,34.0,19,116,7.16,4.28,
125,2001,Kenny Bryant,CB,,Jackson State,,5-11,190,4.65,37.5,10,117,7.50,4.15,
126,2001,Cecil Caldwell,DT,,South Carolina,,6-1,268,4.93,,,,,,
127,2001,Terrence Carroll,SS,,Oregon State,College Stats,6-0,212,4.63,,,,,,
128,2001,Derrick Chambers,DT,,Florida,,6-4,299,4.98,,32,,,,
129,2001,Rodney Crayton,CB,,Auburn,College Stats,5-8,178,4.60,35.5,13,118,7.25,4.40,
130,2001,Ennis Davis,DT,,Southern California,,6-4,302,5.10,27.5,23,99,7.98,4.87,
131,2001,Patrick Dyson,CB,,Utah,College Stats,5-11,192,4.55,31.5,,114,,,
132,2001,Shawn Forte,FS,,Maryland,College Stats,6-1,204,4.54,,20,,,,
133,2001,Setema Gali,DE,,BYU,,6-4,251,4.88,,,,,,
134,2001,Randy Garner,DE,,Arkansas,,6-4,277,4.77,,,,,,
135,2001,Kenneth Grant,CB,,Kentucky,,5-10,204,4.53,39.0,,115,7.15,4.34,
136,2001,Edgerton Hartwell,ILB,,Western Illinois,,6-1,250,4.86,36.5,18,114,7.64,4.56,
137,2001,Menson Holloway,DE,,Texas-El Paso,,6-2,284,4.90,34.5,19,111,7.54,4.43,
138,2001,William James,CB,,Western Illinois,,6-0,197,4.51,38.5,13,120,,,
139,2001,Rod Kelly,DE,,Northeastern State,,6-5,254,4.93,28.5,20,114,7.93,4.55,
140,2001,DeAngelo Lloyd,DE,,Tennessee,College Stats,6-5,264,4.88,,15,,,,
141,2001,Keon Moore,CB,,Southern Miss,College Stats,5-11,193,4.56,37.5,10,119,7.06,4.20,
142,2001,Carl Nesmith,FS,,Kansas,College Stats,6-2,223,4.95,31.5,5,112,,,
143,2001,Saul Patu,DE,,Oregon,,6-2,272,5.01,30.5,22,112,7.52,4.43,
144,2001,Devonte Peterson,DE,,Catawba,,6-3,275,5.02,,31,,,,
