Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2001,Ellis Wyms\WymsEl20,DE,15,Mississippi State,College Stats,6-3,285,4.97,28.0,,103,7.71,4.47,Tampa Bay Buccaneers / 6th / 183rd pick / 2001
2,2001,Shawn Worthen\WortSh20,DT,0,TCU,,6-1,310,5.18,30.0,23,103,7.50,4.61,Minnesota Vikings / 4th / 130th pick / 2001
3,2001,Jamie Winborn\WinbJa20,ILB,20,Vanderbilt,,5-11,229,4.63,35.5,,111,,,San Francisco 49ers / 2nd / 47th pick / 2001
4,2001,Jimmy Williams\WillJi22,CB,10,Vanderbilt,College Stats,5-10,188,4.58,36.0,,120,7.12,,Buffalo Bills / 6th / 196th pick / 2001
5,2001,Brock Williams\WillBr26,CB,1,Notre Dame,College Stats,5-10,183,4.46,42.5,11,130,6.70,4.21,New England Patriots / 3rd / 86th pick / 2001
6,2001,James Whitley\WhitJa21,CB,2,Michigan,College Stats,5-10,193,4.73,39.0,9,118,7.04,4.40,
7,2001,Eric Westmoreland\WestEr20,OLB,5,Tennessee,College Stats,6-0,236,4.63,36.5,21,115,7.47,4.21,Jacksonville Jaguars / 3rd / 73rd pick / 2001
8,2001,Gerard Warren\WarrGe20,DT,64,Florida,,6-4,325,5.00,,,,,,Cleveland Browns / 1st / 3rd pick / 2001
9,2001,Raymond Walls\WallRa20,CB,3,Southern Miss,College Stats,5-11,176,4.51,39.0,,124,,4.18,Indianapolis Colts / 5th / 152nd pick / 2001
10,2001,Fred Wakefield\WakeFr00,DE,16,Illinois,College Stats,6-7,287,5.09,29.0,26,108,7.49,4.64,
11,2001,Kyle Vanden Bosch\VandKy99,DE,72,Nebraska,,6-4,270,4.75,36.5,26,119,6.82,4.08,Arizona Cardinals / 2nd / 34th pick / 2001
12,2001,T.J. Turner\TurnT.21,ILB,0,Michigan State,,6-3,273,4.80,,,,,,New England Patriots / 7th / 239th pick / 2001
13,2001,Joe Tafoya\TafoJo20,DE,8,Arizona,,6-4,269,4.91,33.0,28,111,7.65,4.40,Tampa Bay Buccaneers / 7th / 234th pick / 2001
14,2001,Marcus Stroud\StroMa01,DT,77,Georgia,,6-6,321,5.13,30.0,21,110,8.07,4.72,Jacksonville Jaguars / 1st / 13th pick / 2001
15,2001,Michael Stone\StonMi20,CB,4,Memphis,College Stats,5-11,191,4.51,41.0,17,127,,,Arizona Cardinals / 2nd / 54th pick / 2001
16,2001,Daleroy Stewart\StewDa20,DT,3,Southern Miss,,6-3,309,4.90,33.0,,110,7.75,4.72,Dallas Cowboys / 6th / 171st pick / 2001
17,2001,Kevin Stemke\StemKe20,P,1,Wisconsin,College Stats,6-2,187,,,,,,,
18,2001,Markus Steele\SteeMa20,OLB,8,Southern California,,6-3,232,4.62,33.0,,119,7.15,4.50,Dallas Cowboys / 4th / 122nd pick / 2001
19,2001,Brandon Spoon\SpooBr20,ILB,5,North Carolina,,6-2,245,4.75,35.5,33,110,7.30,4.15,Buffalo Bills / 4th / 110th pick / 2001
20,2001,Fred Smoot\SmooFr20,CB,47,Mississippi State,College Stats,5-11,172,4.48,,,,,,Washington Redskins / 2nd / 45th pick / 2001
21,2001,Kenny Smith\SmitKe23,DT,8,Alabama,College Stats,6-3,299,5.24,30.0,,100,8.00,4.80,New Orleans Saints / 3rd / 81st pick / 2001
22,2001,Justin Smith\SmitJu20,DE,132,Missouri,,6-4,267,4.64,34.0,26,117,,,Cincinnati Bengals / 1st / 4th pick / 2001
23,2001,Dwight Smith\SmitDw20,CB,39,Akron,College Stats,5-10,212,4.51,33.5,15,114,,,Tampa Bay Buccaneers / 3rd / 84th pick / 2001
