Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2002,Dave Zastudil\ZastDa20,P,22,Ohio,College Stats,6-3,222,5.26,,,,,,Baltimore Ravens / 4th / 112th pick / 2002
2,2002,Chris Young\YounCh20,SS,2,Georgia Tech,College Stats,6-0,210,4.63,38.5,23,121,,,Denver Broncos / 7th / 228th pick / 2002
3,2002,Will Witherspoon\WithWi20,OLB,77,Georgia,,6-1,231,4.68,38.0,25,122,7.09,4.21,Carolina Panthers / 3rd / 73rd pick / 2002
4,2002,Coy Wire\WireCo20,SS,19,Stanford,College Stats,6-0,209,4.56,38.5,28,120,6.62,3.87,Buffalo Bills / 3rd / 97th pick / 2002
5,2002,Tank Williams\WillTa20,FS,29,Stanford,College Stats,6-2,222,4.46,38.5,19,125,6.78,3.93,Tennessee Titans / 2nd / 45th pick / 2002
6,2002,Roy Williams\WillRo03,SS,65,Oklahoma,College Stats,6-0,219,4.53,30.5,13,115,,,Dallas Cowboys / 1st / 8th pick / 2002
7,2002,Chad Williams\WillCh20,SS,10,Southern Miss,College Stats,5-9,207,4.58,36.5,20,121,6.96,,Baltimore Ravens / 6th / 209th pick / 2002
8,2002,Dante Wesley\WeslDa20,CB,11,Arkansas-Pine Bluff,,6-1,211,4.43,35.0,15,116,7.25,4.22,Carolina Panthers / 4th / 100th pick / 2002
9,2002,Anthony Weaver\WeavAn20,DT,46,Notre Dame,College Stats,6-3,296,4.95,32.5,24,109,7.37,4.31,Baltimore Ravens / 2nd / 52nd pick / 2002
10,2002,Lenny Walls\WallLe20,CB,13,Boston College,College Stats,6-4,192,4.67,37.0,7,120,,,
11,2002,Larry Tripplett\TripLa20,DT,29,Washington,,6-2,305,4.93,30.0,,102,,4.36,Indianapolis Colts / 2nd / 42nd pick / 2002
12,2002,Josh Thornhill\ThorJo20,ILB,0,Michigan State,,6-2,243,4.69,36.5,27,121,7.15,4.19,
13,2002,David Thornton\ThorDa20,OLB,48,North Carolina,College Stats,6-2,236,4.62,35.5,26,117,6.93,4.09,Indianapolis Colts / 4th / 106th pick / 2002
14,2002,Robert Thomas\ThomRo20,OLB,24,UCLA,College Stats,6-0,229,4.51,34.0,21,116,7.21,4.10,St. Louis Rams / 1st / 31st pick / 2002
15,2002,Lamont Thompson\ThomLa21,FS,18,Washington State,College Stats,6-1,220,4.59,33.5,12,120,,,Cincinnati Bengals / 2nd / 41st pick / 2002
