Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2014,Jordan Zumwalt\ZumwJo00,OLB,,UCLA,College Stats,6-4,235,4.76,33.0,,116,6.99,4.25,Pittsburgh Steelers / 6th / 192nd pick / 2014
2,2014,Kerry Wynn\WynnKe00,DE,9,Richmond,,6-5,266,4.97,34.0,31,113,,,
3,2014,Avery Williamson\WillAv00,ILB,27,Kentucky,College Stats,6-1,246,4.66,30.5,25,120,7.11,4.07,Tennessee Titans / 5th / 151st pick / 2014
4,2014,Chris Whaley\WhalCh01,DT,,Texas,College Stats,6-3,269,5.02,,,,,,
5,2014,Lavelle Westbrooks\WestLa00,CB,,Georgia Southern,,5-11,186,4.63,36.0,15,121,6.98,4.27,Cincinnati Bengals / 7th / 252nd pick / 2014
6,2014,Ethan Westbrooks\WestEt00,DE,11,West Texas A&M,,6-3,267,4.90,29.0,19,110,7.30,4.67,
7,2014,Jaylen Watkins\WatkJa01,CB,3,Florida,College Stats,5-11,194,4.41,,22,,,,Philadelphia Eagles / 4th / 101st pick / 2014
8,2014,Jimmie Ward\WardJi01,SS,9,Northern Illinois,College Stats,5-11,193,4.59,,9,,,,San Francisco 49ers / 1st / 30th pick / 2014
9,2014,Jason Verrett\VerrJa00,CB,12,TCU,College Stats,5-9,189,4.38,39.0,,128,6.69,4.00,San Diego Chargers / 1st / 25th pick / 2014
10,2014,Brock Vereen\VereBr00,SS,2,Minnesota,College Stats,6-0,199,4.47,34.0,25,117,6.90,4.07,Chicago Bears / 4th / 131st pick / 2014
11,2014,Kyle Van Noy\VanNKy00,OLB,14,BYU,College Stats,6-3,243,4.71,32.5,21,112,7.22,4.20,Detroit Lions / 2nd / 40th pick / 2014
12,2014,Brent Urban\UrbaBr00,DE,5,Virginia,College Stats,6-7,295,4.98,,,,,,Baltimore Ravens / 4th / 134th pick / 2014
13,2014,George Uko\UkoxGe00,DT,0,Southern California,College Stats,6-3,284,4.99,29.5,18,110,,,
14,2014,Stephon Tuitt\TuitSt00,DT,23,Notre Dame,College Stats,6-5,304,4.92,,31,,,,Pittsburgh Steelers / 2nd / 46th pick / 2014
15,2014,Jordan Tripp\TripJo00,OLB,3,Montana,,6-3,234,4.67,37.5,22,120,6.89,3.96,Miami Dolphins / 5th / 171st pick / 2014
16,2014,Khyri Thornton\ThorKh00,DT,3,Southern Miss,College Stats,6-3,304,5.03,29.0,28,112,7.83,4.76,Green Bay Packers / 3rd / 85th pick / 2014
17,2014,Robert Thomas\ThomRo04,DT,2,Arkansas,College Stats,6-1,327,5.26,,32,,,,
18,2014,Jemea Thomas\ThomJe03,CB,0,Georgia Tech,College Stats,5-9,192,4.52,37.0,19,125,,,New England Patriots / 6th / 206th pick / 2014
19,2014,Will Sutton\SuttWi00,DT,9,Arizona State,College Stats,6-0,303,5.36,28.5,24,99,7.93,4.82,Chicago Bears / 3rd / 82nd pick / 2014
20,2014,Vinnie Sunseri\SunsVi00,SS,0,Alabama,College Stats,5-11,210,,,18,,,,New Orleans Saints / 5th / 167th pick / 2014
21,2014,Ed Stinson\StinEd00,DE,5,Alabama,College Stats,6-3,287,4.98,,,,,,Arizona Cardinals / 5th / 160th pick / 2014
22,2014,Shamar Stephen\StepSh00,DT,14,Connecticut,College Stats,6-5,309,5.25,30.5,25,103,,,Minnesota Vikings / 7th / 220th pick / 2014
23,2014,Tyler Starr\StarTy00,OLB,0,South Dakota,,6-4,250,4.95,32.0,24,116,6.64,4.15,Atlanta Falcons / 7th / 255th pick / 2014
24,2014,Dezmen Southward\SoutDe00,SS,1,Wisconsin,College Stats,6-0,211,4.38,,,,,,Atlanta Falcons / 3rd / 68th pick / 2014
25,2014,Daniel Sorensen\SoreDa00,SS,,BYU,College Stats,6-1,205,4.67,32.0,13,114,6.47,3.95,
26,2014,Telvin Smith\SmitTe01,OLB,37,Florida State,College Stats,6-3,218,4.52,31.5,,119,,,Jacksonville Jaguars / 5th / 144th pick / 2014
27,2014,Marcus Smith\SmitMa03,DE,3,Louisville,College Stats,6-3,251,4.66,35.0,23,121,7.48,4.47,Philadelphia Eagles / 1st / 26th pick / 2014
28,2014,Chris Smith\SmitCh03,OLB,5,Arkansas,College Stats,6-1,266,4.66,37.0,28,121,7.55,4.46,Jacksonville Jaguars / 5th / 159th pick / 2014
29,2014,Yawin Smallwood\SmalYa00,ILB,,Connecticut,College Stats,6-2,246,,36.5,18,108,,,Atlanta Falcons / 7th / 253rd pick / 2014
30,2014,Shayne Skov\SkovSh00,ILB,1,Stanford,College Stats,6-2,245,5.09,,,,,,
31,2014,Prince Shembo\ShemPr00,OLB,2,Notre Dame,College Stats,6-1,253,4.71,38.5,26,122,7.29,4.31,Atlanta Falcons / 4th / 139th pick / 2014
32,2014,Ryan Shazier\ShazRy00,OLB,28,Ohio State,College Stats,6-1,237,4.58,42.0,25,130,6.91,4.21,Pittsburgh Steelers / 1st / 15th pick / 2014
33,2014,Michael Sam\SamxMi00,DE,,Missouri,College Stats,6-2,261,4.91,25.5,17,114,7.80,4.70,St. Louis Rams / 7th / 249th pick / 2014
34,2014,Bradley Roby\RobyBr00,CB,11,Ohio State,College Stats,5-11,194,4.39,38.5,17,124,,4.04,Denver Broncos / 1st / 31st pick / 2014
35,2014,Marcus Roberson\RobeMa00,CB,3,Florida,College Stats,6-0,191,4.61,37.5,8,120,6.84,4.08,
36,2014,Rashaad Reynolds\ReynRa00,CB,,Oregon State,College Stats,5-10,189,4.51,37.5,20,123,6.72,4.00,
37,2014,Ed Reynolds\ReynEd00,FS,3,Stanford,College Stats,6-1,207,4.57,32.5,15,117,,,Philadelphia Eagles / 5th / 162nd pick / 2014
38,2014,Trevor Reilly\ReilTr00,OLB,3,Utah,College Stats,6-5,245,4.67,,26,,,,New York Jets / 7th / 233rd pick / 2014
39,2014,Caraun Reid\ReidCa00,DT,7,Princeton,,6-2,302,4.91,26.5,20,106,7.59,4.58,Detroit Lions / 5th / 158th pick / 2014
40,2014,Keith Reaser\ReasKe00,CB,2,Florida Atlantic,College Stats,5-11,189,4.43,,22,,,,San Francisco 49ers / 5th / 170th pick / 2014
41,2014,Kaleb Ramsey\RamsKa00,DT,,Boston College,College Stats,6-3,293,,,36,,,,San Francisco 49ers / 7th / 243rd pick / 2014
42,2014,Kelcy Quarles\QuarKe01,DT,0,South Carolina,College Stats,6-4,297,5.03,23.5,27,102,,,
43,2014,Loucheiz Purifoy\PuriLo00,CB,,Florida,College Stats,5-11,190,4.61,35.5,6,120,,,
44,2014,Calvin Pryor\PryoCa00,FS,15,Louisville,College Stats,5-11,207,4.58,34.5,18,116,,,New York Jets / 1st / 18th pick / 2014
45,2014,Jabari Price\PricJa00,CB,1,North Carolina,College Stats,5-11,200,4.45,,16,,7.04,4.30,Minnesota Vikings / 7th / 225th pick / 2014
46,2014,Ronald Powell\PoweRo01,OLB,1,Florida,College Stats,6-3,237,4.65,35.5,21,114,,,New Orleans Saints / 5th / 169th pick / 2014
47,2014,Kevin Pierre-Louis\PierKe00,OLB,4,Boston College,College Stats,6-0,232,4.51,39.0,28,128,6.92,4.02,Seattle Seahawks / 4th / 132nd pick / 2014
48,2014,Tenny Palepoi\PaleTe00,DT,4,Utah,College Stats,6-1,298,5.10,30.5,31,111,7.67,4.53,
49,2014,Jeoffrey Pagan\PagaJe00,DE,1,Alabama,College Stats,6-3,310,4.92,,,,,,Houston Texans / 6th / 177th pick / 2014
50,2014,Pat O'Donnell\ODonPa00,P,8,Miami (FL),College Stats,6-4,220,4.64,30.5,23,120,,,Chicago Bears / 6th / 191st pick / 2014
51,2014,Louis Nix III\NixILo00,DT,0,Notre Dame,College Stats,6-2,331,5.32,25.5,,97,8.29,4.94,Houston Texans / 3rd / 83rd pick / 2014
52,2014,Jonathan Newsome\NewsJo00,OLB,4,Ball State,College Stats,6-3,247,4.73,34.0,21,117,7.31,4.63,Indianapolis Colts / 5th / 166th pick / 2014
53,2014,Trent Murphy\MurpTr00,DE,13,Stanford,College Stats,6-5,250,4.86,35.5,19,118,6.78,4.20,Washington Redskins / 2nd / 47th pick / 2014
54,2014,C.J. Mosley\MoslC.00,ILB,51,Alabama,College Stats,6-2,234,4.65,35.0,,118,7.30,4.40,Baltimore Ravens / 1st / 17th pick / 2014
55,2014,James Morris\MorrJa01,ILB,0,Iowa,College Stats,6-1,241,4.80,34.5,18,117,6.94,4.36,
56,2014,Zach Moore\MoorZa00,DE,1,Concordia (MN),,6-5,269,4.84,33.5,23,123,7.41,4.46,New England Patriots / 6th / 198th pick / 2014
57,2014,Terrance Mitchell\MitcTe00,CB,4,Oregon,College Stats,5-11,192,4.63,34.0,,117,6.57,4.00,Dallas Cowboys / 7th / 254th pick / 2014
58,2014,Tevin Mims\MimsTe00,DE,,South Florida,College Stats,6-4,260,4.95,27.5,17,109,,,
59,2014,Keith McGill\McGiKe00,CB,4,Utah,College Stats,6-3,211,4.51,39.0,,129,7.29,4.18,Oakland Raiders / 4th / 116th pick / 2014
60,2014,Dexter McDougle\McDoDe00,CB,2,Maryland,College Stats,5-10,196,4.47,,,,,,New York Jets / 3rd / 80th pick / 2014
61,2014,Daniel McCullers\McCuDa00,DT,3,Tennessee,College Stats,6-7,352,5.18,20.5,27,97,,,Pittsburgh Steelers / 6th / 215th pick / 2014
62,2014,Josh Mauro\MaurJo00,DE,16,Stanford,College Stats,6-6,271,5.21,32.0,21,116,7.43,4.51,
63,2014,Kareem Martin\MartKa00,DE,10,North Carolina,College Stats,6-6,272,4.72,35.5,22,129,7.20,4.33,Arizona Cardinals / 3rd / 84th pick / 2014
64,2014,Cassius Marsh\MarsCa00,DE,7,UCLA,College Stats,6-4,252,4.89,32.0,14,108,7.08,4.25,Seattle Seahawks / 4th / 108th pick / 2014
65,2014,Eathyn Manumaleuna\ManuEa00,DT,,BYU,College Stats,6-2,296,5.16,28.0,29,101,7.78,4.61,
66,2014,Cody Mandell\MandCo01,P,,Alabama,College Stats,6-2,216,4.89,27.0,,109,,,
67,2014,Khalil Mack\MackKh00,OLB,48,Buffalo,College Stats,6-3,251,4.65,40.0,23,128,7.08,4.18,Oakland Raiders / 1st / 5th pick / 2014
68,2014,Aaron Lynch\LyncAa00,DE,10,South Florida,College Stats,6-5,249,4.76,,18,,,,San Francisco 49ers / 5th / 150th pick / 2014
69,2014,Craig Loston\LostCr00,SS,1,LSU,College Stats,6-1,217,4.65,32.5,12,119,7.15,4.35,
70,2014,Boseko Lokombo\LokoBo01,OLB,,Oregon,College Stats,6-2,225,4.66,,,122,7.15,4.30,
71,2014,Isaiah Lewis\LewiIs00,SS,,Michigan State,College Stats,5-10,211,4.60,36.5,15,122,7.05,4.47,
72,2014,Richie Leone\LeonRi01,P,,Houston,College Stats,6-3,211,5.10,,,,,,
73,2014,Nevin Lawson\LawsNe00,CB,12,Utah State,College Stats,5-9,190,4.48,33.0,16,120,7.12,4.40,Detroit Lions / 4th / 133rd pick / 2014
74,2014,Demarcus Lawrence\LawrDe00,DE,24,Boise State,College Stats,6-3,251,4.80,34.5,20,113,7.46,4.31,Dallas Cowboys / 2nd / 34th pick / 2014
75,2014,Kenny Ladler\LadlKe00,FS,0,Vanderbilt,College Stats,6-0,207,4.70,36.5,24,127,,,
76,2014,Christian Kirksey\KirkCh00,OLB,22,Iowa,College Stats,6-2,233,4.72,32.0,16,122,,,Cleveland Browns / 3rd / 71st pick / 2014
77,2014,Zach Kerr\KerrZa00,DT,8,Kansas State,,6-1,326,5.06,28.5,28,99,7.93,4.71,
78,2014,Devon Kennard\KennDe00,OLB,18,Southern California,College Stats,6-3,249,4.70,30.0,23,113,7.25,4.32,New York Giants / 5th / 174th pick / 2014
79,2014,Lamarcus Joyner\JoynLa00,CB,13,Florida State,College Stats,5-8,184,4.55,37.5,14,124,7.26,4.40,St. Louis Rams / 2nd / 41st pick / 2014
