Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
41,2004,Darrion Scott\ScotDa20,DE,15,Ohio State,,6-3,289,4.81,36.5,,118,,4.32,Minnesota Vikings / 3rd / 88th pick / 2004
42,2004,Stuart Schweigert\SchwSt20,FS,16,Purdue,College Stats,6-2,218,4.47,38.0,18,124,6.68,3.89,Oakland Raiders / 3rd / 67th pick / 2004
43,2004,Bo Schobel\SchoBo20,DE,3,TCU,,6-5,271,4.80,32.5,25,109,6.94,4.38,Tennessee Titans / 4th / 103rd pick / 2004
44,2004,Bob Sanders\SandBo99,SS,34,Iowa,College Stats,5-8,204,4.35,41.5,15,128,6.70,3.91,Indianapolis Colts / 2nd / 44th pick / 2004
45,2004,B.J. Sander\SandB.20,P,1,Ohio State,College Stats,6-4,219,4.84,,,,,,Green Bay Packers / 3rd / 87th pick / 2004
46,2004,Dunta Robinson\RobiDu20,CB,46,South Carolina,College Stats,5-11,186,4.34,36.0,15,120,6.97,3.75,Houston Texans / 1st / 10th pick / 2004
47,2004,Constantin Ritzmann\RitzCo20,DE,0,Tennessee,College Stats,6-3,259,4.97,29.0,24,108,7.39,4.48,
48,2004,Robert Reynolds\ReynRo20,ILB,2,Ohio State,College Stats,6-3,251,4.76,32.5,18,116,7.17,3.94,Tennessee Titans / 5th / 165th pick / 2004
49,2004,Dexter Reid\ReidDe20,FS,4,North Carolina,College Stats,5-11,203,4.56,,,,,,New England Patriots / 4th / 113th pick / 2004
50,2004,Keiwan Ratliff\RatlKe20,CB,10,Florida,College Stats,5-10,194,4.56,,11,,,,Cincinnati Bengals / 2nd / 49th pick / 2004
51,2004,Etric Pruitt\PruiEt20,FS,0,Southern Miss,College Stats,6-0,197,4.57,39.5,,116,7.15,4.00,Atlanta Falcons / 6th / 186th pick / 2004
52,2004,Kendyll Pope\PopeKe20,OLB,0,Florida State,College Stats,6-1,226,4.70,,,118,,4.26,Indianapolis Colts / 4th / 107th pick / 2004
53,2004,Derrick Pope\PopeDe20,OLB,11,Alabama,College Stats,5-11,230,4.71,,24,106,,,Miami Dolphins / 7th / 222nd pick / 2004
54,2004,Will Poole\PoolWi20,CB,1,Southern California,College Stats,5-10,194,4.47,,16,,,,Miami Dolphins / 4th / 102nd pick / 2004
55,2004,Nathaniel Adibi,DE,,Virginia Tech,College Stats,6-3,254,4.65,33.0,,118,,4.36,Pittsburgh Steelers / 5th / 145th pick / 2004
56,2004,Shaun Phillips\PhilSh20,DE,65,Purdue,College Stats,6-3,255,4.78,33.0,,114,6.95,4.23,San Diego Chargers / 4th / 98th pick / 2004
57,2004,Igor Olshansky\OlshIg20,DT,43,Oregon,College Stats,6-5,315,4.96,33.5,41,110,7.61,4.41,San Diego Chargers / 2nd / 35th pick / 2004
58,2004,Antwan Odom\OdomAn20,DE,25,Alabama,,6-6,274,4.71,37.0,21,114,7.30,4.44,Tennessee Titans / 2nd / 57th pick / 2004
59,2004,Caleb Miller\MillCa20,ILB,10,Arkansas,College Stats,6-3,224,4.66,34.5,23,120,6.85,3.93,Cincinnati Bengals / 3rd / 80th pick / 2004
60,2004,Bobby McCray\McCrBo20,DE,26,Florida,,6-6,255,4.62,33.5,27,,,,Jacksonville Jaguars / 7th / 249th pick / 2004
61,2004,Keith Lewis\LewiKe20,FS,8,Oregon,College Stats,6-0,204,4.60,37.0,11,121,7.28,4.07,San Francisco 49ers / 6th / 198th pick / 2004
62,2004,Alex Lewis\LewiAl20,OLB,7,Wisconsin,College Stats,6-0,227,4.78,34.5,25,121,7.06,4.28,Detroit Lions / 5th / 140th pick / 2004
63,2004,Jeremy LeSueur\LeSuJe20,CB,0,Michigan,College Stats,6-0,197,4.53,35.0,,116,,,Denver Broncos / 3rd / 85th pick / 2004
64,2004,Rodney Leisle\LeisRo20,DT,2,UCLA,College Stats,6-3,309,5.15,,31,,,,New Orleans Saints / 5th / 139th pick / 2004
65,2004,Teddy Lehman\LehmTe20,OLB,9,Oklahoma,College Stats,6-1,240,4.55,34.5,26,113,6.91,4.06,Detroit Lions / 2nd / 37th pick / 2004
66,2004,Andy Lee\LeexAn20,P,41,Pittsburgh,College Stats,6-1,207,5.00,,,,,,San Francisco 49ers / 6th / 188th pick / 2004
67,2004,Chad Lavalais\LavaCh20,DT,9,LSU,College Stats,6-1,303,5.09,,,,,,Atlanta Falcons / 5th / 142nd pick / 2004
68,2004,Kyle Larson\LarsKy20,P,9,Nebraska,College Stats,6-1,204,4.86,,,,,,
69,2004,Travis Laboy\LaBoTr20,DE,24,Hawaii,College Stats,6-3,263,4.69,35.5,35,126,7.01,4.07,Tennessee Titans / 2nd / 42nd pick / 2004
70,2004,Niko Koutouvides\KoutNi20,ILB,10,Purdue,College Stats,6-2,244,4.71,30.5,,108,6.98,3.88,Seattle Seahawks / 4th / 116th pick / 2004
71,2004,Tommy Kelly\KellTo21,DE,60,Mississippi State,College Stats,6-6,294,4.87,25.0,24,105,7.79,4.45,
72,2004,Sean Jones\JoneSe20,FS,35,Georgia,College Stats,6-1,218,4.63,36.5,,122,7.19,,Cleveland Browns / 2nd / 59th pick / 2004
73,2004,Donnie Jones\JoneDo21,P,35,LSU,College Stats,6-3,222,4.88,,,,,,Seattle Seahawks / 7th / 224th pick / 2004
74,2004,Trevor Johnson\JohnTr21,DE,1,Nebraska,College Stats,6-5,260,4.80,35.5,23,110,7.06,4.08,New York Jets / 7th / 234th pick / 2004
75,2004,Tank Johnson\JohnTa20,DT,23,Washington,,6-3,304,4.69,34.0,31,114,7.56,4.60,Chicago Bears / 2nd / 47th pick / 2004
76,2004,Spencer Johnson\JohnSp20,DT,24,Auburn,College Stats,6-3,286,5.06,30.0,19,111,7.78,4.53,
77,2004,Landon Johnson\JohnLa20,OLB,31,Purdue,College Stats,6-2,227,4.65,37.5,20,120,7.00,4.08,Cincinnati Bengals / 3rd / 96th pick / 2004
78,2004,Leon Joe\JoexLe20,OLB,4,Maryland,College Stats,6-0,230,4.49,39.0,30,,,,Chicago Bears / 4th / 112th pick / 2004
79,2004,Von Hutchins\HutcVo20,CB,7,Mississippi,College Stats,5-10,185,4.46,34.5,11,115,7.05,4.06,Indianapolis Colts / 6th / 173rd pick / 2004
80,2004,Vontez Duff,CB,,Notre Dame,College Stats,5-11,203,4.53,35.0,13,120,6.94,4.03,Houston Texans / 6th / 170th pick / 2004
81,2004,T.J. Hollowell\HollT.20,OLB,0,Nebraska,College Stats,6-0,235,4.64,33.5,,117,7.14,4.09,
82,2004,Marquise Hill\HillMa21,DE,0,LSU,,6-7,305,5.12,29.0,23,106,,,New England Patriots / 2nd / 63rd pick / 2004
83,2004,Tommie Harris\HarrTo99,DT,61,Oklahoma,College Stats,6-2,295,4.78,,29,,,,Chicago Bears / 1st / 14th pick / 2004
84,2004,DeAngelo Hall\HallDe99,CB,80,Virginia Tech,College Stats,5-10,202,4.34,,,,,,Atlanta Falcons / 1st / 8th pick / 2004
85,2004,Roderick Green\GreeRo20,DE,6,Central Missouri,,6-2,245,4.70,34.5,21,129,7.26,4.04,Baltimore Ravens / 5th / 153rd pick / 2004
86,2004,Jabari Greer\GreeJa22,CB,36,Tennessee,College Stats,5-10,178,4.50,36.5,7,126,,,
87,2004,Robert Geathers\GeatRo21,DE,55,Georgia,College Stats,6-3,271,4.84,33.5,24,112,,,Cincinnati Bengals / 4th / 117th pick / 2004
88,2004,Rich Gardner\GardRi20,CB,2,Penn State,College Stats,5-11,199,4.46,36.5,11,123,6.91,3.91,Tennessee Titans / 3rd / 92nd pick / 2004
89,2004,Gilbert Gardner\GardGi20,OLB,8,Purdue,College Stats,6-1,229,4.65,,,,,,Indianapolis Colts / 3rd / 69th pick / 2004
90,2004,Chris Gamble\GambCh20,CB,55,Ohio State,College Stats,6-1,198,4.52,,,,,,Carolina Panthers / 1st / 28th pick / 2004
91,2004,Keyaron Fox\FoxxKe20,OLB,14,Georgia Tech,College Stats,6-2,227,4.65,,28,,,,Kansas City Chiefs / 3rd / 93rd pick / 2004
92,2004,Ryan Fowler\FowlRy20,ILB,14,Duke,College Stats,6-3,250,4.80,37.5,35,118,7.19,4.19,
93,2004,Dwan Edwards\EdwaDw20,DT,39,Oregon State,,6-3,313,5.12,28.0,25,105,7.59,4.68,Baltimore Ravens / 2nd / 51st pick / 2004
94,2004,Glenn Earl\EarlGl20,SS,10,Notre Dame,College Stats,6-1,222,4.65,,20,,,,Houston Texans / 4th / 122nd pick / 2004
95,2004,Darnell Dockett\DockDa20,DT,89,Florida State,College Stats,6-3,297,5.00,31.0,26,105,,,Arizona Cardinals / 3rd / 64th pick / 2004
96,2004,Curtis DeLoatch\DeLoCu20,CB,7,North Carolina A&T,,6-2,214,4.50,35.5,10,120,6.97,4.42,
97,2004,Rod Davis\DaviRo21,ILB,3,Southern Miss,College Stats,6-2,239,4.76,,,114,7.20,4.02,Minnesota Vikings / 5th / 155th pick / 2004
98,2004,Karlos Dansby\DansKa20,OLB,113,Auburn,College Stats,6-3,251,4.58,,,,,,Arizona Cardinals / 2nd / 33rd pick / 2004
99,2004,Jorge Cordova\CordJo20,ILB,1,Nevada,,6-1,241,4.65,35.5,22,,7.25,4.16,Jacksonville Jaguars / 3rd / 86th pick / 2004
100,2004,Marquis Cooper\CoopMa21,OLB,3,Washington,College Stats,6-3,223,4.55,36.5,25,121,7.02,4.12,Tampa Bay Buccaneers / 3rd / 79th pick / 2004
101,2004,Erik Coleman\ColeEr21,FS,38,Washington State,College Stats,5-10,200,4.64,35.5,16,117,7.03,4.14,New York Jets / 5th / 143rd pick / 2004
102,2004,Ricardo Colclough\ColcRi20,CB,2,Tusculum,,5-11,194,4.49,39.5,8,127,,,Pittsburgh Steelers / 2nd / 38th pick / 2004
103,2004,Jared Clauss\ClauJa20,DT,2,Iowa,College Stats,6-5,294,4.95,,23,,,,Tennessee Titans / 7th / 230th pick / 2004
104,2004,Brandon Chillar\ChilBr20,OLB,26,UCLA,College Stats,6-3,253,4.71,33.0,23,115,,4.08,St. Louis Rams / 4th / 130th pick / 2004
105,2004,Jordan Carstens\CarsJo20,DT,9,Iowa State,,6-5,305,5.00,28.5,28,106,8.35,4.80,
106,2004,Ahmad Carroll\CarrAh20,CB,14,Arkansas,College Stats,5-10,195,4.34,41.0,15,128,,,Green Bay Packers / 1st / 25th pick / 2004
107,2004,Tony Bua\BuaxTo20,SS,1,Arkansas,College Stats,5-11,209,4.67,36.0,15,120,6.75,4.08,Miami Dolphins / 5th / 160th pick / 2004
108,2004,Rufus Brown\BrowRu21,CB,0,Florida State,College Stats,5-9,187,4.43,33.0,15,124,7.24,4.44,
109,2004,Greg Brooks\BrooGr20,CB,0,Southern Miss,College Stats,5-11,177,4.45,,,,,,Cincinnati Bengals / 6th / 183rd pick / 2004
110,2004,Jon Bradley\BradJo20,DT,3,Arkansas State,College Stats,6-1,306,5.09,26.5,19,104,7.88,4.85,
111,2004,Michael Boulware\BoulMi20,OLB,18,Florida State,College Stats,6-2,225,4.50,,,,6.89,3.92,Seattle Seahawks / 2nd / 53rd pick / 2004
112,2004,Ryan Boschetti\BoscRy20,DT,3,UCLA,,6-4,306,5.06,29.5,,110,7.41,4.27,
113,2004,Colby Bockwoldt\BockCo20,OLB,12,BYU,College Stats,6-2,230,4.60,34.0,14,112,7.12,4.05,New Orleans Saints / 7th / 240th pick / 2004
114,2004,Ryon Bingham\BingRy20,DT,6,Nebraska,College Stats,6-3,303,5.09,30.0,33,109,7.44,4.38,San Diego Chargers / 7th / 204th pick / 2004
115,2004,Dave Ball\BallDa20,DE,16,UCLA,College Stats,6-5,277,5.07,,24,,,,San Diego Chargers / 5th / 133rd pick / 2004
116,2004,Rashad Baker\BakeRa21,FS,4,Tennessee,College Stats,5-10,204,4.50,36.0,21,117,7.19,4.12,
117,2004,Jason Babin\BabiJa20,DE,53,Western Michigan,College Stats,6-3,260,4.62,34.0,28,121,7.03,4.14,Houston Texans / 1st / 27th pick / 2004
118,2004,Matthias Askew\AskeMa20,DT,0,Michigan State,College Stats,6-5,308,5.20,27.0,20,101,7.55,4.42,Cincinnati Bengals / 4th / 114th pick / 2004
119,2004,Tim Anderson\AndeTi20,DT,7,Ohio State,College Stats,6-3,307,5.01,,,,,,Buffalo Bills / 3rd / 74th pick / 2004
120,2004,Will Allen\AlleWi21,FS,29,Ohio State,College Stats,6-0,202,4.58,,,,,,Tampa Bay Buccaneers / 4th / 111th pick / 2004
121,2004,Roc Alexander\AlexRo21,CB,2,Washington,College Stats,5-11,185,4.35,39.5,,125,6.97,4.23,
122,2004,Jeff Womble,DT,,Florida State,College Stats,6-1,313,5.38,28.0,18,,,,
123,2004,Marcus Winn,SS,,Alabama State,,6-0,223,4.86,,21,,,,
124,2004,Virgil Williams,SS,,Washington State,College Stats,6-1,196,4.66,,11,,,,
125,2004,Donnell Washington,DT,,Clemson,,6-5,332,5.00,31.0,34,109,7.80,4.88,
126,2004,Daryl Towns,OLB,,Nevada,College Stats,6-0,224,4.57,37.0,,112,7.15,4.25,
127,2004,Deryck Toles,OLB,,Penn State,College Stats,6-0,224,4.58,37.0,24,112,7.12,4.23,
128,2004,Greg Taplin,DE,,Michigan State,College Stats,6-5,267,5.09,33.0,,115,,,
129,2004,Andrew Shull,DE,,Kansas State,College Stats,6-5,265,4.90,30.5,16,107,7.46,4.28,
130,2004,Jared Allen,DE,,Idaho State,,6-6,265,4.72,33.0,13,120,7.11,4.34,
131,2004,Marcell Allmond,CB,,Southern California,College Stats,6-0,209,4.59,38.0,21,123,7.37,4.34,
132,2004,Josh Buhl,OLB,,Kansas State,,5-11,204,4.73,29.0,,114,7.26,4.32,
133,2004,Darrell Campbell,DT,,Notre Dame,,6-4,302,5.18,33.0,25,111,7.63,4.66,
134,2004,Dietrich Canterberry,DT,,UNLV,,6-3,308,5.35,,26,,,,
135,2004,Ahmad Childress,DT,,Alabama,,6-6,351,5.28,22.0,,86,8.75,4.94,
136,2004,Cols Colas,OLB,,Virginia Tech,,6-0,233,4.58,34.5,22,118,,,
137,2004,Kentrell Curry,FS,,Georgia,,6-1,201,4.60,34.5,17,127,,,
138,2004,Mondre Dickerson,DT,,Tennessee,,6-4,316,5.12,27.0,29,106,8.34,,
139,2004,Daryl Dixon,FS,,Florida,College Stats,5-10,195,4.77,35.5,15,118,,,
140,2004,Deandre' Eiland,FS,,South Carolina,,5-11,202,4.53,35.0,17,113,7.19,4.27,
141,2004,Kevin Emanuel,DE,,Florida State,,6-4,251,4.84,31.0,21,108,7.86,4.49,
142,2004,Brandon Everage,FS,,Oklahoma,College Stats,6-0,194,4.55,,,,,,
143,2004,Jonathan Harrell,OLB,,Northern Iowa,College Stats,6-1,242,4.73,,27,,,,
144,2004,Claude Harriott,DE,,Pittsburgh,,6-4,252,4.69,30.5,25,118,7.44,4.25,
145,2004,Bryan Hickman,OLB,,Kansas State,College Stats,6-0,231,4.68,32.5,26,106,7.38,4.00,
146,2004,Cedric Hilliard,DT,,Notre Dame,College Stats,6-1,307,5.17,29.0,26,110,8.22,4.75,
147,2004,Isaac Hilton,DE,,Hampton,,6-3,267,4.57,36.5,31,123,7.99,4.48,
148,2004,Shawn Johnson,DE,,Delaware,,6-4,269,4.87,,,,,,
149,2004,Maurice Jones,OLB,,South Florida,College Stats,6-1,249,4.71,35.5,26,118,7.16,4.21,
150,2004,Randy Jordan,CB,,Kansas State,College Stats,6-1,178,4.59,33.5,,115,7.34,4.21,
151,2004,DeMarco McNeil,DT,,Auburn,College Stats,6-1,310,5.32,,,,,,
152,2004,Lewis Moore,OLB,,Pittsburgh,College Stats,6-1,234,4.68,,,,,,
153,2004,Gabe Nyenhuis,DE,,Colorado,,6-3,269,4.74,39.0,25,124,6.92,4.03,
154,2004,Uyi Osunde,DE,,Connecticut,,6-3,252,4.75,,33,,,,
155,2004,Arnold Parker,SS,,Utah,College Stats,6-2,213,4.54,35.5,18,120,6.98,4.12,
156,2004,Chad Pugh,DT,,TCU,,6-3,321,5.38,25.0,19,98,8.17,4.85,
157,2004,Lawrence Richardson,CB,,Arkansas,College Stats,5-9,194,4.62,31.0,8,112,,,
158,2004,Greg Richmond,OLB,,Oklahoma State,College Stats,6-1,233,4.73,,17,,,,
159,2004,Stanford Samuels,CB,,Florida State,College Stats,5-10,193,4.58,,,,,,
