Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2004,Dexter Wynn\WynnDe20,CB,4,Colorado State,College Stats,5-9,175,4.49,39.0,13,123,6.70,3.90,Philadelphia Eagles / 6th / 192nd pick / 2004
2,2004,Gibril Wilson\WilsGi20,SS,38,Tennessee,College Stats,6-0,197,4.47,,15,120,,,New York Giants / 5th / 136th pick / 2004
3,2004,Quintin Williams\WillQu20,FS,0,Wake Forest,College Stats,5-11,207,4.60,37.0,21,122,7.28,4.09,
4,2004,Madieu Williams\WillMa20,FS,40,Maryland,College Stats,6-0,193,4.48,,18,125,,,Cincinnati Bengals / 2nd / 56th pick / 2004
5,2004,Demorrio Williams\WillDe22,OLB,40,Nebraska,College Stats,6-1,232,4.52,37.0,16,125,7.02,4.11,Atlanta Falcons / 4th / 101st pick / 2004
6,2004,D.J. Williams\WillD.20,OLB,65,Miami (FL),College Stats,6-1,250,4.55,,,,,,Denver Broncos / 1st / 17th pick / 2004
7,2004,Corey Williams\WillCo21,DT,40,Arkansas State,,6-4,313,5.18,28.0,25,106,7.97,4.55,Green Bay Packers / 6th / 179th pick / 2004
8,2004,Vince Wilfork\WilfVi20,DT,117,Miami (FL),College Stats,6-1,323,5.08,,36,,,,New England Patriots / 1st / 21st pick / 2004
9,2004,Courtney Watson\WatsCo20,OLB,7,Notre Dame,College Stats,6-1,237,4.56,36.5,22,114,7.39,4.35,New Orleans Saints / 2nd / 60th pick / 2004
10,2004,Rashad Washington\WashRa20,FS,3,Kansas State,College Stats,6-2,223,4.61,34.0,14,116,7.06,4.02,New York Jets / 7th / 236th pick / 2004
11,2004,Matt Ware\WareMa20,FS,7,UCLA,College Stats,6-2,209,4.54,,15,,,,Philadelphia Eagles / 3rd / 89th pick / 2004
12,2004,Michael Waddell\WaddMi20,CB,3,North Carolina,College Stats,5-11,187,4.31,37.5,14,121,6.84,4.03,Tennessee Titans / 4th / 124th pick / 2004
13,2004,Jonathan Vilma\VilmJo99,ILB,68,Miami (FL),College Stats,6-0,233,4.61,,,,,,New York Jets / 1st / 12th pick / 2004
14,2004,Khaleed Vaughn\VaugKh20,DE,0,Clemson,College Stats,6-4,281,5.00,31.5,14,113,7.38,4.35,
15,2004,Nathan Vasher\VashNa99,CB,34,Texas,College Stats,5-10,177,4.49,,,,,,Chicago Bears / 4th / 110th pick / 2004
16,2004,Kenechi Udeze\UdezKe20,DE,20,Southern California,College Stats,6-3,281,4.77,,,,,,Minnesota Vikings / 1st / 20th pick / 2004
17,2004,Sean Tufts\TuftSe20,OLB,1,Colorado,,6-4,242,4.61,34.5,21,118,6.94,3.94,Carolina Panthers / 6th / 196th pick / 2004
18,2004,Marcus Tubbs\TubbMa20,DT,9,Texas,,6-4,321,5.05,32.5,29,105,,,Seattle Seahawks / 1st / 23rd pick / 2004
19,2004,Reggie Torbor\TorbRe20,DE,19,Auburn,,6-2,254,4.65,34.0,16,120,7.48,4.46,New York Giants / 4th / 97th pick / 2004
20,2004,Bruce Thornton\ThorBr21,CB,4,Georgia,College Stats,5-10,197,4.50,37.5,,122,,,Dallas Cowboys / 4th / 121st pick / 2004
21,2004,Joey Thomas\ThomJo21,CB,3,Montana State,,6-1,195,4.44,38.5,17,122,6.82,3.88,Green Bay Packers / 3rd / 70th pick / 2004
22,2004,Dontarrious Thomas\ThomDo21,OLB,9,Auburn,College Stats,6-2,241,4.57,38.5,26,129,,4.00,Minnesota Vikings / 2nd / 48th pick / 2004
23,2004,Chris Thompson\ThomCh24,CB,1,Nicholls State,,6-0,189,4.50,35.0,12,117,7.09,4.14,Jacksonville Jaguars / 5th / 150th pick / 2004
24,2004,Craig Terrill\TerrCr20,DT,9,Purdue,College Stats,6-2,290,5.21,26.5,28,100,7.39,4.10,Seattle Seahawks / 6th / 189th pick / 2004
25,2004,Sean Taylor\TaylSe20,FS,33,Miami (FL),College Stats,6-2,230,4.51,,,,,,Washington Redskins / 1st / 5th pick / 2004
26,2004,Billy Strother\StroBi20,OLB,0,New Mexico,College Stats,6-0,241,4.68,33.0,,112,7.41,4.15,
27,2004,Derrick Strait\StraDe20,CB,3,Oklahoma,College Stats,5-11,196,4.52,,,,,,New York Jets / 3rd / 76th pick / 2004
28,2004,Larry Stevens\StevLa20,DE,1,Michigan,,6-2,241,4.86,,,,,,
29,2004,Randy Starks\StarRa20,DT,78,Maryland,,6-3,314,5.08,29.5,27,102,,,Tennessee Titans / 3rd / 71st pick / 2004
30,2004,Cody Spencer\SpenCo20,ILB,4,North Texas,College Stats,6-2,242,4.65,34.5,27,116,6.94,4.08,Oakland Raiders / 6th / 182nd pick / 2004
31,2004,Isaac Sopoaga\SopoIs20,DT,43,Hawaii,,6-2,317,4.97,30.5,42,99,7.79,4.66,San Francisco 49ers / 4th / 104th pick / 2004
32,2004,Will Smith\SmitWi99,DE,63,Ohio State,College Stats,6-3,275,4.60,,,,,,New Orleans Saints / 1st / 18th pick / 2004
33,2004,Keith Smith\SmitKe20,CB,7,McNeese State,,5-11,201,4.48,36.5,12,116,,,Detroit Lions / 3rd / 73rd pick / 2004
34,2004,Daryl Smith\SmitDa24,OLB,96,Georgia Tech,College Stats,6-2,234,4.67,,24,,,,Jacksonville Jaguars / 2nd / 39th pick / 2004
35,2004,Antonio Smith\SmitAn22,DE,71,Oklahoma State,,6-3,274,5.03,33.0,24,108,,4.75,Arizona Cardinals / 5th / 135th pick / 2004
36,2004,Junior Siavii\SiavJu20,DT,6,Oregon,,6-4,344,5.16,24.5,31,93,7.93,4.84,Kansas City Chiefs / 2nd / 36th pick / 2004
37,2004,Jeff Shoate\ShoaJe20,CB,0,San Diego State,College Stats,5-10,189,4.62,36.0,12,121,7.00,3.88,Denver Broncos / 5th / 152nd pick / 2004
38,2004,Jason Shivers\ShivJa20,FS,0,Arizona State,College Stats,6-0,201,4.51,36.0,19,128,,,St. Louis Rams / 5th / 158th pick / 2004
39,2004,Richard Seigler\SeigRi20,ILB,0,Oregon State,College Stats,6-2,244,4.86,,25,,,,San Francisco 49ers / 4th / 127th pick / 2004
40,2004,Guss Scott\ScotGu20,SS,1,Florida,College Stats,5-10,204,4.46,39.0,20,124,,,New England Patriots / 3rd / 95th pick / 2004
